mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2805.60941,96.5894112478,1.53149151776,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.81972,35.138400703,-0.516453815041,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,758.162,89.5101054482,-0.765189251811,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,805.82253,89.9659490334,-0.586508690064,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.86019,23.7258347979,0.13677425242,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3115.22749,96.9134446397,-0.145355420855,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1031.03278,91.6025922671,-0.761197131364,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,88.77825,69.908831283,-0.154751663214,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,38.34144,62.7855887522,-0.0780369357255,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68382,20.0845782074,-0.348664473893,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.94022,69.1948594025,-0.222514946785,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,77.20961,68.7774604569,-1.0038061155,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.5852372583,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,31.02613,60.9292618629,0.0397542464329,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,18.5852372583,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,18.5852372583,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,144.79112,74.165202109,-1.10410425746,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,436.86539,84.742970123,2.704868736,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.54246,32.8262302285,-0.115060745605,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,18.5852372583,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,6.63883,39.790202109,3.68338381884,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.5852372583,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,39.565026362,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,160.85389,75.0109841828,-0.740878305513,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,500.25821,85.9896748682,1.97974828786,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.93652,25.2086994728,-0.107284522996,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.57842,33.1887082601,-0.110047476888,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,18.5852372583,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,1559.74633,94.0520650264,2.94463818235,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,18.5852372583,-0.270555570801,ENSG00000162670,98,0
