mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1147.32283,91.1357644991,-0.647129194828,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.20378,31.9420035149,-0.555109261351,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2542.31031,95.375659051,-0.234804200614,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,2106.28301,94.5408611599,1.14477385825,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.6713532513,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2906.13668,95.9193760984,-0.270272814198,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,4090.45797,97.1550966608,0.0406292131355,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,158.1998,71.3587434095,0.332470131243,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.92926,44.4914323374,-0.13439832352,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,188.06094,73.1821177504,0.948036364861,NA,NA,NA
ENSMUSG00000083012,Fam220a,107.59133,67.6460896309,-0.151179573664,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1047.02422,90.5645869947,1.02865111141,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.6713532513,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,71.38181,64.2629613357,1.92496073154,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,8.62992,45.8040421793,-0.0858920498301,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.6713532513,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1000.87372,90.3064586995,0.959609872675,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.69085,24.5221880492,-0.47498859146,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.51091,34.8253514938,-0.115100520978,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.6713532513,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.6713532513,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.6713532513,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,7.25931,42.986599297,-0.27446185525,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,925.57755,89.6528998243,1.13510008286,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,171.37698,72.1331282953,-0.383833729717,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.6713532513,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,23.4072934974,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.6713532513,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,182.08739,72.7921792619,-0.599873315586,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,141.7466,70.2822934974,1.98088803463,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.37647,33.5566783831,-0.167964683005,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.6713532513,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5.24524,32.381370826,-0.338845821047,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,22.6713532513,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,16.43142,52.8613796134,-0.124350166574,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,52.0046133568,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,26960.17505,99.6759666081,1.19338985724,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,24.4068541301,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.6713532513,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,22.6713532513,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1081.7637,90.7897627417,0.530160995429,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,22.6713532513,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,134.26539,69.7715289982,0.0770301677628,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,1041.08842,90.5316344464,-0.769440497386,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.85253,27.8833479789,-0.133237763838,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,15.86421,52.5483304042,-0.503511405671,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,411.26537,81.9200351494,0.558293915126,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,214.59965,74.6869507909,-0.604145920388,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,6.93054,42.0144991213,-0.516653044749,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,22.6713532513,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,47445.13601,99.9505711775,0.682719932238,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,26.4663884007,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,22.6713532513,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,36.9398066784,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,265.33198,77.2847100176,-0.727181157746,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,22.6713532513,-0.157497169991,ENSG00000180772,92,1
