mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.89068,23.4567223199,-0.57475893541,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,35.79142,59.6550966608,-0.567956648946,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,11.89029,47.9844024605,0.0736150372488,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,16.5311950791,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,16.5311950791,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,431.66472,85.0670035149,0.990250355529,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,78.34781,67.717486819,-0.274359132453,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.85621,22.7811950791,-0.282595109214,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,40.1966168717,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,47.34085,62.4890158172,-0.510244211075,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,16.5311950791,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,17.2616432337,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,16.5311950791,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,73.22069,67.0199912127,-0.362158469426,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,21.11901,54.4705623902,-0.0970059774118,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.98999,25.19771529,-0.555940679736,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.88504,23.3413884007,-0.148879861703,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2178.93631,95.5788664323,0.668723438307,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,206.628,78.0426186292,-0.11858932724,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2793.36152,96.3916959578,0.0865353709228,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,6.92541,38.5270210896,7.74487527785,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,50.33143,63.1260984183,-0.633148595522,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,6.51776,36.8079964851,-0.171457245096,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,87.4478,68.8268892794,-1.25971140716,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,6.21884,35.4184973638,0.0853090076337,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,311.34757,81.9365114236,-0.619250825006,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.24407,35.5612917399,0.517123307842,ENSG00000172789,100,0
