ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0.2,30.0518134715,-0.61363783434,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,1.9,44.9481865285,-0.336346786096,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,26.4248704663,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,26.4248704663,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,3.8,56.6062176166,-0.276527359794,NA,NA,NA,NM_023074
ENSG00000079263,SP140,20.5,91.0621761658,1.56986104981,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,2.5,48.9637305699,-0.442113225232,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,6.4,69.3652849741,0.0197916610563,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,24.6,93.4585492228,-0.05432236343,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,7.2,71.6321243523,0.888127741907,NA,NA,NA,NM_001289166
ENSG00000198416,,0,26.4248704663,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,2.2,46.7616580311,1.49438009502,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,26.4248704663,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,26.4248704663,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,17.5,88.9896373057,-0.215772502483,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,26.4248704663,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,3.6,55.1813471503,0.480462366186,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,20.8,91.4507772021,0.226238791715,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,26.4248704663,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.2,68.7823834197,0.142385784913,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,26.4248704663,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,6.9,71.0492227979,1.26140313785,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,8.3,74.481865285,1.56582916983,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.5,54.5336787565,-0.256359445673,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,25.3,93.6528497409,0.929571446622,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.3,39.8316062176,-0.76228752969,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,4.7,61.9170984456,0.559915900911,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,55,98.121761658,2.39682736643,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,8.5,75.1295336788,0.586212314073,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,26.4248704663,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,26.4248704663,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,5.2,65.0259067358,0.0164251560662,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.8,62.3704663212,-0.209967927467,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,26.4248704663,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,3.1,52.3316062176,0.264245031001,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,26.4248704663,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.2,30.0518134715,-0.316861871529,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,13.3,84.1968911917,0.425056015316,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,8.8,75.9715025907,0.245261827549,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,26.4248704663,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,10,78.8212435233,0.482956946201,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,0.3,31.2823834197,-0.385377348199,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,26.4248704663,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,10.4,79.5336787565,0.299324783965,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,60.9,98.2512953368,0.690341245683,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0.3,31.2823834197,-0.29059283771,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,17.9,89.4430051813,-0.301464659508,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,9.1,76.9430051813,-0.418565168234,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,5.7,67.292746114,-0.0650147460879,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,1.6,42.6165803109,0.834100260323,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,55.5,98.1865284974,3.79432923049,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,27.3,94.3005181347,1.16217757592,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,3.9,57.6424870466,1.10029925489,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,6.7,70.3367875648,1.46598867902,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,8.5,75.1295336788,0.99385011266,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,0,26.4248704663,-0.45646837151,ENSMUSG00000029556,94,1,NM_001306179
ENSG00000067646,ZFY,2.4,48.3808290155,0.599415765676,ENSMUSG00000053211,69,0,NM_003411
ENSG00000186496,ZNF396,1.2,38.8601036269,-0.383881445986,NA,NA,NA,NM_145756
ENSG00000187140,FOXD3,0,26.4248704663,-0.821952943376,ENSMUSG00000067261,90,1,NM_012183
ENSG00000185610,DBX2,0,26.4248704663,-0.279301948972,ENSMUSG00000045608,71,0,NM_001004329
ENSG00000172262,ZNF131,11.4,81.2823834197,0.130063899894,ENSMUSG00000094870,88,1,NM_003432
ENSG00000169926,KLF13,29.4,95.0129533679,0.997479814633,ENSMUSG00000052040,94,1,NM_015995
ENSG00000114853,ZBTB47,5.1,64.5077720207,-0.43153810566,ENSMUSG00000013419,74,1,NM_145166
