mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,26.625659051,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,39.69138,58.8367750439,-0.44999061958,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.3363356766,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.3363356766,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.3363356766,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,402.96959,81.4586994728,0.869268020994,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,9.56933,47.3583040422,-0.313772923988,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.3363356766,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.0026362039,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,2422.92446,95.150483304,1.81743403927,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.3363356766,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.81463,28.1909050967,-0.321286954406,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.3363356766,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,8.73369,46.3038224956,-0.544577821563,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.9344,51.032513181,-0.264354075081,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,31.815685413,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.3363356766,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,842.68244,88.5544815466,-0.560199807377,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,8.65462,46.1775043937,-0.384001362297,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2961.39621,96.0621704745,0.128788971249,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.3363356766,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,44.58463,59.6935413005,-0.775415287463,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,130.78956,68.9586994728,-0.00282272044601,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,259.40093,76.4773725835,0.650966008523,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.3363356766,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1338.67701,92.0144991213,2.79812673955,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,35.7809753954,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,3851.696,96.9354130053,1.88957548507,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,191.51603,72.9569420035,0.774852235853,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,202.38602,73.572056239,2.03079043122,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,129.83609,68.8873022847,-0.153677027658,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.34677,35.2482425308,-0.167006482083,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,53.84755,61.1214850615,-0.687995450976,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.3363356766,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.99544,31.348857645,-0.0876737729222,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,22.3363356766,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.3363356766,-0.114740308437,NA,NA,NA
