ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5,53.5496648385,0.00337963224099,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,5.9,56.6067438554,-0.0163460211848,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0.1,23.024578509,-0.285063725143,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,2,40.5748527321,1.24352419077,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,21.5,84.1052203941,0.820296662368,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,19.3124111314,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.1,23.024578509,-0.193150837162,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,13.8,75.3250050782,0.110522299817,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,12.8,73.7304489133,0.912353665518,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.3,27.1937842779,-0.228020707011,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,2,40.5748527321,-0.535324360119,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,9.2,66.3111923624,-0.437975847924,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.3124111314,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,8.5,64.4525695714,0.500887243687,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,19.3124111314,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1.2,35.9029047329,-0.48963092386,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,14.3,76.0867357302,-0.0290763238571,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,4.4,51.2543164737,-0.454890264427,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,4.7,52.4273816778,-1.01365801253,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.1,41.1385334146,-0.104932600634,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.2,25.5179768434,-0.182240751737,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,3.9,48.9437334958,-0.259561356584,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,19.3124111314,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,1.6,38.553727402,-0.357312813057,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,12.8,73.7304489133,0.989332845291,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,11.2,70.7596993703,-0.59103073643,ENSMUSG00000001751,82,0,NM_000263
