ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5,54.5399146862,0.00337963224099,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,5.3,55.5758683729,-0.076700560944,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,20.9577493398,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.3,28.1535648995,-0.79405761579,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,10.6,70.3991468617,-0.467369745526,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,20.9577493398,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,20.9577493398,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,12.4,73.9031078611,-0.0836502112338,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,11.6,72.4812106439,0.564445217098,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.3,28.1535648995,-0.228020707011,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,0.6,31.9977655901,-0.586789019633,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,23.4,85.4814137721,0.99071205801,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,20.9577493398,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.5,59.6333536462,-0.202112396575,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0.1,24.2433475523,-0.17438911949,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1.6,39.5084298192,-0.325994479332,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,7.5,62.6599634369,-0.688139664617,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0.7,33.2013000203,-0.718259493318,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,6.9,60.9943124111,-0.640818283786,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,3.1,47.2526914483,0.17723909855,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.1,24.2433475523,-0.185088263483,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,2.3,43.3373958968,-0.262214065565,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,20.9577493398,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,3.3,48.1210643916,-0.318607482451,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,11.7,72.6843388178,0.670134713721,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,9.6,68.2307536055,-0.853939282957,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,20.9577493398,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,10.5,70.1909404834,0.0462888623993,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,2.4,43.8452163315,0.0561731314876,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,20.9577493398,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,7.5,62.6599634369,-0.332181208825,NA,NA,NA,NA
ENSG00000169740,ZNF32,32.2,89.7674182409,1.54331562868,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.7,33.2013000203,-0.191094504119,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,88.5,96.8616697136,2.66051707763,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,2,41.7682307536,-0.376686446122,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,20.9577493398,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,8.1,64.3662400975,-0.172234184162,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,13.6,75.7515742433,-0.104835570658,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.1,24.2433475523,-0.263590653682,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,35.7,90.7881373146,0.16798232869,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,9,66.6869794841,0.461408859435,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,20.9577493398,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,53.4,94.3174893358,0.790885696496,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,1.7,40.1076579322,-0.0787205973044,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,12.3,73.7355271176,0.607767556689,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,20.9577493398,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,12.4,73.9031078611,-0.243146593669,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,20.9577493398,nan,ENSMUSG00000060373,84,0,NM_001146181
