mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,9.46026,42.5801845343,-0.287979128363,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,14.99177,47.836115993,-1.19710467167,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,48.50017,60.0834797891,1.49207348245,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.2607644991,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.65134,21.3038224956,-0.3367091121,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,118.83642,70.0461335677,-0.328673728197,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1563.649,93.9257469244,0.576798838311,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.2607644991,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,81.58882,65.8062390158,1.88205865338,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,180.5011,74.8242530756,-0.379769233713,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,5.0844,29.5749121265,0.294416890419,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,22.6548769772,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.2607644991,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,15.52943,48.2590070299,-0.525354187527,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,25.86429,53.7840509666,0.0135238329614,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.13598,30.0362478032,-0.52090079252,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.2607644991,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,712.62368,88.9169595782,-0.679811983669,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,15.8557,48.5391036907,-0.374347269927,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,465.0661,85.2043057996,-0.49893221388,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.64117,20.0955623902,-0.221351945564,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,62.4066344464,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.86554,26.9606766257,-0.173699276951,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,144.76353,72.2264938489,-0.622840936272,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,6.34866,36.2532952548,0.109255719357,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,260.75121,79.0696397188,-0.787557951017,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,32.1287346221,-0.255626407086,ENSG00000172789,100,0
