mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,38.87543,62.1594903339,1.55807166336,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,49.22363,64.2794376098,-0.161659025558,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,24.3848857645,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,24.3848857645,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,24.3848857645,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,19.14965,56.5960017575,-0.748965887767,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,74.30154,67.5637082601,-0.276677864159,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,201.718,78.0426186292,0.316893419539,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,45.3591827768,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,7.60783,45.8644551845,-0.549175986023,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,24.3848857645,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,26.1478471002,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,834.03359,91.8332601054,6.04324165802,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,17.9518,56.2115553603,-0.51850184262,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,16.48998,55.4042179262,-0.204828025449,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.97519,31.7497803163,-0.559492911607,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,24.3848857645,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1408.18413,95.0955623902,-0.0401203614599,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.08917,40.7073813708,-0.387440720181,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,113.84294,71.6498242531,-0.587249947723,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,24.3848857645,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,116.10624,71.8859841828,0.995160138339,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.2549,35.209797891,-0.173170922662,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,343.89597,83.8532513181,1.58984257719,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,24.3848857645,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,626.28831,89.7407732865,0.428389179394,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,36.6047891037,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,675.49999,90.3064586995,-0.705300668847,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,136.06394,73.6928822496,0.262750236061,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,74.15202,67.5362478032,-0.109418758886,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,48.50435,64.125659051,-0.838248248508,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,33.2765817223,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,454.31156,86.7585676626,0.99735468062,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,24.3848857645,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,24.3848857645,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,24.3848857645,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,24.3848857645,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.25039,41.5366871705,-0.432897957613,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,462.45422,86.9617750439,-0.835444847121,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,24.3848857645,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,26.3730228471,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,1868.15056,96.4466168717,1.19848582916,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,10.84091,51.1643233743,-0.493252723571,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,18.957,56.5630492091,-0.954005128741,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,6.10585,40.7787785589,-0.175226723015,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,4689.42515,98.6269771529,0.561499086901,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,11.28694,51.6036906854,0.457380772299,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,24.3848857645,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,78.83998,68.2447275923,0.37207959348,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,6.50081,42.5252636204,-0.379062894342,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,138.99809,73.9015817223,0.0613788809124,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,24.3848857645,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.03686,58.1118189807,-0.12429344219,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,452.64174,86.7146309315,-0.479544899314,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,10.88729,51.2247363796,3.74025688237,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,16.68076,55.5525043937,-0.232295806661,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.92791,39.8725834798,-0.2164635317,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,24.3848857645,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,5.47104,36.9782513181,-0.218627031407,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,82.57125,68.651142355,-0.510211156662,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,294.76857,82.2440685413,1.35236925233,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,24.3848857645,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,12.89546,52.9327768014,5.17771503346,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,370.99416,84.5562390158,2.93681782432,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,24.3848857645,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,408.71413,85.5557996485,1.31988302721,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.63584,24.3848857645,-0.448013834377,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,5.92034,39.8121704745,-0.101099587198,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,27.065026362,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,11.07458,51.4224516696,-0.437984637415,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,55.14515,65.1526801406,1.3738401593,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,69.75468,66.9101493849,-0.89709806224,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,24.3848857645,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,7.35766,45.2603251318,-0.781838192156,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.29831,35.5832601054,-0.277401173465,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,189.23711,77.2188049209,-0.814614070235,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,226.67105,79.3826889279,-0.138275724446,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,111.14376,71.3642355009,-0.383282872281,ENSG00000213676,87,1
