ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,4.5,58.0310880829,2.76382480587,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,9.7,75.3886010363,0.261177468776,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.5751295337,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.5751295337,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,7.5,69.9481865285,1.17862105797,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.7,32.9015544041,-0.417876682324,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,2.9,48.8989637306,-0.378670968696,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,10.3,76.6839378238,1.47273242566,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,26.5,92.292746114,0.106007718927,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,7.8,70.6606217617,1.1704464943,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.5751295337,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,23.5751295337,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.5751295337,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0.2,28.432642487,0.752313027343,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,33.1,94.6243523316,1.65101490201,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.5751295337,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.5,46.2435233161,-0.557100535025,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,19.3,87.5,0.115766136554,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.5751295337,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,6.5,66.774611399,0.295970451785,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.5751295337,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,5.6,63.7953367876,0.663063679075,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,5,61.0751295337,0.199287348888,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,5.6,63.7953367876,1.20358587206,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,21.6,89.1839378238,0.496429930369,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,2.6,46.9559585492,0.216452014603,ENSMUSG00000033249,86,1,NM_001040667
