mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.3240333919,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,118.80182,68.480887522,1.94294276645,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.74696,25.3734622144,-0.203154970339,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.5619507909,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.5619507909,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,119.85516,68.6072056239,-0.32437859019,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,18.6448,55.0856766257,-0.308572188487,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.76225,25.8457820738,-0.282881238595,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,45.2054042179,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,16.1233,54.0147188049,-0.540832236627,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,5.02576,31.2225395431,0.225972596584,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.62681,37.4176186292,0.409224257758,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,8.72338,47.7152899824,-0.290157573433,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,10.01721,49.4013620387,-0.540947029514,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,52.44002,62.0771089631,0.632541129608,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.96895,30.2449472759,-0.560990609369,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.5619507909,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,3646.12719,96.4191564148,2.01806656746,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,13.52878,52.559314587,-0.377466843743,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,848.23722,88.4995606327,-0.402580922602,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.5619507909,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,78.49976,64.9879173989,0.0641812448422,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.9526,29.9758347979,-0.173581138148,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,227.01104,74.8681898067,0.29106193862,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.5619507909,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,733.60989,87.1979349736,0.785390882456,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,35.8633567663,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1405.88123,92.322056239,-0.108596669164,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,174.96653,71.9573813708,0.622017021787,ENSG00000072736,89,1
