mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1190.39891,91.0973198594,-0.590536781166,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.4393673111,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2239.17691,94.6616871705,-0.32491858347,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,2301.77902,94.8044815466,1.40503461633,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.2928383128,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4520.09966,97.242970123,0.693959178658,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,9762.03891,98.6928822496,1.52705974509,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,279.35254,76.9057557118,1.18275733149,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,9.83725,44.6232425308,-0.130862340098,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,176.15769,71.6717926186,0.863865808256,NA,NA,NA
ENSMUSG00000083012,Fam220a,116.17346,66.9101493849,-0.128208318594,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,983.65464,89.7078207381,0.895846388211,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.2928383128,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,102.05079,65.526142355,3.35765521191,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.2928383128,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.2928383128,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,872.75459,88.7082601054,0.650759699897,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.95162,29.4046572935,-0.473069895844,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.2928383128,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.2928383128,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.2928383128,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.2928383128,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.71234,39.3673110721,-0.431345718983,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,480.63403,83.0019771529,0.0435888988526,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,144.47382,69.2387961336,-0.577179592574,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.2928383128,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,21.2928383128,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,6.65188,39.2080404218,-0.0799780457297,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,94.43979,64.7297891037,-0.82537755103,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.2928383128,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.14567,31.5575571178,-0.170948026683,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.2928383128,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,8.20455,42.3934534271,-0.336813685282,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.2928383128,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,129.75545,68.0799648506,-0.0108416462815,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,9.77347,44.5573374341,-0.751020983797,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,24659.63023,99.5606326889,0.887574250434,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,23.3139279438,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.2928383128,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.2928383128,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,578.50704,85.1164323374,-0.511849854922,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,25.28129,53.3282073814,-0.134492384635,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,134.52948,68.4314586995,0.0813293689182,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,3278.36581,96.1884885764,-0.514236018795,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.86242,27.9657293497,-0.133235704296,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,58.77506,60.2811950791,0.0118784465612,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,191.21721,72.5779876977,-0.616081818274,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,315.38355,78.3391915641,-0.141219805541,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,7.12997,40.4053163445,-0.514545320229,ENSG00000092929,88,1
