ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,4.4,55.8937823834,2.68527916307,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,27,92.4870466321,1.58645562381,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.121761658,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.121761658,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,6.8,66.9041450777,0.903322708661,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.6,30.8937823834,-0.427915761779,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,4.3,54.8575129534,-0.156623070822,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,8.2,71.1787564767,0.690379706259,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,40.7,96.4378238342,1.30426412391,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,8.8,72.9274611399,1.64097774829,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.121761658,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.1,25.518134715,-0.403962861225,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.121761658,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,1.1,34.8445595855,5.36223115234,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,33.9,94.7538860104,1.74674758942,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.121761658,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.8,45.1424870466,-0.274128834695,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,10.7,76.5544041451,-0.517610419701,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.121761658,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,8.1,70.9844559585,1.1150886751,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.121761658,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,6.5,65.7383419689,1.077298689,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,6,63.018134715,0.613390930993,NA,NA,NA,NM_001077426
