mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,41.82539,62.6537785589,1.74320661222,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,35.15985,60.6162126538,-0.587060384668,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.1239015817,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.1239015817,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,18.1239015817,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,49.54018,64.663884007,-0.620835530206,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,78.74524,69.9198154657,-0.274131383553,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,90.51479,71.6003954306,-0.0217454232527,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,40.0867750439,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,15.0664,50.7963532513,-0.541867823475,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.1239015817,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.73263,22.3967486819,-0.395041441585,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.1239015817,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,116.82377,74.5221880492,-0.238815073008,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.36624,48.0173550088,-0.300880566127,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.05513,39.0158172232,-0.06027472532,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.1239015817,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1821.33617,96.776142355,0.339846467716,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.08917,35.3306239016,-0.387440720181,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,638.36698,91.558655536,-0.455354390041,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.69764,21.2598857645,-0.0244142983353,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,66.7344024605,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,118.38769,74.6375219684,-0.0196518277111,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,91.93506,71.7981107206,-1.20985069023,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,11.6382,47.1221441125,1.08496893403,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,302.34179,85.1548769772,-0.649208255724,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.97688,34.7594463972,0.266180168325,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,351.37907,86.6212653779,-0.970099706326,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,55.11744,65.8556678383,-0.48479353598,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,32.26629,59.7319859402,-0.808486278269,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,103.29792,73.033831283,-0.377049445807,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,6.83747,38.3732425308,0.0317740194937,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,54.66237,65.7293497364,-0.684566286407,NA,NA,NA
