ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,8,62.4873044891,1.62560310792,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,5,53.7883404428,-0.106877830824,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,22.7046516352,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.4,31.6219784684,-0.674199862463,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,7.1,60.085313833,-0.880840610446,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,22.7046516352,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0.3,30.3118017469,0.218904282116,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,10.5,68.1291895186,-0.347170047659,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,11.9,70.8206378225,0.651422329203,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,22.7046516352,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,134,98.2124720699,4.31705782259,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,8.9,64.6049157018,-0.468159395232,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,22.7046516352,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.2,57.4954296161,-0.307562342615,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,22.7046516352,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,5.2,54.5043672557,1.14673352142,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,32.2,88.9549055454,1.70581099961,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,22.7046516352,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
