mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,28.9927504394,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,129.81912,70.9852811951,2.27619416783,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.87992,27.6252196837,-0.198003403743,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.2937170475,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,5.52386,33.9191564148,1.37906536444,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,269.78168,79.2014499121,0.307730774651,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,73.62133,64.493629174,-0.277067661304,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.2937170475,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,41.0808435852,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,23.91212,54.0421792619,-0.533200483809,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.2937170475,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.62226,34.5342706503,0.405131783164,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,5.14032,30.8875219684,-0.317653839898,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,406.5176,83.6555360281,0.580664214084,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,30.36217,56.2664762742,0.118291059233,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.83406,39.5101054482,-0.11333498881,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.2937170475,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2138.04321,95.4141036907,0.631114955139,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,10.37217,45.6832161687,-0.381698737365,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,582.04474,87.1485061511,-0.469517045493,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.2937170475,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,62.4560632689,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,528.55429,86.2038664323,0.53693663096,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,151.47053,72.7152899824,-0.548315317418,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.2937170475,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,621.49809,87.7032073814,0.412454670248,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.1118189807,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1874.05933,94.8209578207,0.273893637999,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,45.95459,59.8253514938,-0.569412777722,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,60.58504,62.4780316344,-0.335849933754,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,180.76168,74.8901581722,0.274964893919,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,30.3438049209,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,46.29477,59.9132249561,-0.719781275542,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.82783,26.6641036907,-0.114689938081,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.2937170475,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.2937170475,-0.147611978375,ENSG00000164916,89,0
