mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75731,27.1309314587,-0.58312903132,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,36.43624,56.4367311072,-0.548452127091,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.0951230228,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.0951230228,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.65973,23.9839630931,-0.320210524264,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,546.61942,84.8088752197,1.4749140588,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,312.72781,78.8279876977,-0.140046707114,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.0951230228,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.489,40.9380492091,-0.397697039839,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,4153.18437,96.9409050967,3.51280200822,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.0951230228,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,23.7972319859,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.71277,26.0874340949,-0.320934842373,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,15.19115,48.5830404218,-0.526311106262,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,23.12827,52.3561072056,-0.0502051296661,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,21.99259,51.9716608084,3.52494969891,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.0951230228,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1130.51287,90.8886203866,-0.295488502001,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,229.52758,75.3185413005,-0.0878891183042,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3324.53223,96.2763620387,0.220102284309,ENSG00000060138,74,0
