mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.12272,38.8949912127,-0.497438001435,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,120.43214,69.4914323374,1.99225670223,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.65184,23.2150702988,-0.206840417199,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.8699472759,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.8699472759,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,110.03921,68.4863796134,-0.3657638896,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,107.21644,68.184314587,-0.257815845008,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,162.78735,72.9953866432,0.198340814222,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.4428822496,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,88.72939,66.3060193322,-0.469690300884,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.8699472759,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,25.0274604569,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.8699472759,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,32.46751,57.0243848858,-0.477440133841,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,47.96992,60.506370826,0.528420971187,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,19.49841,52.6746485062,2.92630742275,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.8699472759,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1408.08036,93.3930140598,-0.0402157964428,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,146.23235,71.7706502636,-0.199558457409,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,941.55683,90.7128734622,-0.379114997182,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.65641,23.6324692443,-0.168202844382,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,118.12613,69.315685413,1.04516415247,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.77035,27.8888400703,-0.173828448013,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,223.90085,76.5432776801,0.256502696857,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.8699472759,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,590.7142,86.9233304042,0.310053073506,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,35.2427504394,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1913.80157,95.0241652021,0.306362097299,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,341.70182,81.3159050967,2.16182328418,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,102.75894,67.7229789104,0.368027106366,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,86.60586,66.0863356766,-0.517546918167,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,32.4362917399,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,217.18435,76.3071177504,-0.000593610859473,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.65153,23.1876098418,-0.115976795564,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.8699472759,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.6433,22.2869068541,-0.146964626185,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.8699472759,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,12.34892,48.5391036907,-0.387561154362,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,3069.70789,96.776142355,-0.53803746421,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.8699472759,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,25.4833040422,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,5350.15444,98.0832601054,4.02138476996,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,15.30508,50.7194639719,-0.446344822426,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,36.90548,58.0349297012,-0.258356982297,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,7.22785,42.1133567663,-0.173512383127,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,5360.02818,98.0887521968,0.841802628179,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,14.94242,50.4723198594,0.891160046704,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.8699472759,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,146.14027,71.7596660808,1.97838630687,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,122.81543,69.7550527241,-0.00420172615428,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,80.08051,65.2899824253,-0.415341786701,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.64203,22.0782073814,-0.108726750521,NA,NA,NA
ENSMUSG00000035041,Creb3l3,19.30108,52.6032513181,-0.131384478873,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,319.65002,80.6898066784,-0.527064625752,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,5.48246,35.7535149385,0.140378553948,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,147.59723,71.8804920914,-0.0534089712281,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.36487,39.7242970123,-0.167585365955,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.65258,23.2974516696,-0.157885692409,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.8699472759,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,251.49279,77.9822056239,1.22968044602,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,177.58118,73.9565026362,0.354087161444,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.71641,26.6366432337,-0.267129158269,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,5.59341,36.3796133568,0.213621369511,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,176.95373,73.9070738137,0.155320712744,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.8699472759,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,277.85596,79.0751318102,0.439653342848,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.63584,20.8699472759,-0.448013834377,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.65927,23.8576449912,-0.186580533756,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.81283,28.7785588752,-0.173764482988,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,57.1417,62.1704745167,0.494341480992,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,24.86696,54.9318980668,-0.246374571738,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,87.69294,66.1961775044,-0.793908680449,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,20.8699472759,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,11.9862,48.2425307557,-0.559779914166,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,53.38969,61.538884007,-0.115941009682,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,363.90042,82.0408611599,-0.528950281869,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,485.62835,84.9846221441,0.216667849097,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,337.163,81.1840949033,1.50994186204,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,134.37842,70.9028998243,-0.00257724706836,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,66.73009,63.6258787346,-0.58208880198,NA,NA,NA
ENSMUSG00000078861,Zfp931,135.40331,70.941344464,-0.690600580106,NA,NA,NA
ENSMUSG00000032897,Nfyc,718.64788,88.5544815466,-0.462537493156,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.63584,20.8699472759,-0.577470888189,NA,NA,NA
ENSMUSG00000039841,Zfp800,235.96476,77.191344464,0.19395235081,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,20.8699472759,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,201.0815,75.4723198594,2.57298659584,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,166.25483,73.2260544815,0.194593963619,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.66189,24.0498681898,-0.460388989189,NA,NA,NA
ENSMUSG00000078768,Zfp566,22.99148,54.2179261863,-0.476044857681,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,20.8699472759,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,176.85041,73.9015817223,0.43689806485,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.63584,20.8699472759,-0.300972119109,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,20.8699472759,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,4.81878,28.8554481547,-0.441922796057,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,98.87223,67.3275483304,-0.36039227394,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,4.63584,20.8699472759,-0.373698409377,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,4.63584,20.8699472759,-0.135831034441,ENSG00000123411,97,0
ENSMUSG00000039476,Prrx2,5.30488,34.4024604569,-0.272985582376,ENSG00000167157,90,0
ENSMUSG00000017801,Mlx,175.90878,73.8521528998,-0.152337025007,ENSG00000108788,95,0
ENSMUSG00000038346,Zfp384,835.32967,89.8231546573,1.13135890929,ENSG00000126746,97,0
ENSMUSG00000042109,Csdc2,14.32928,50.0439367311,-0.206585029305,ENSG00000172346,97,0
ENSMUSG00000038342,Mlxip,1427.73891,93.480887522,2.76522490876,ENSG00000175727,87,1
ENSMUSG00000039219,Arid4b,76.35473,64.8341388401,0.520176638827,ENSG00000054267,90,1
ENSMUSG00000035187,Nkx6-1,4.63584,20.8699472759,-0.111057307378,ENSG00000163623,96,0
ENSMUSG00000014303,Glis2,9.57289,45.6832161687,-0.26237366845,ENSG00000126603,93,0
ENSMUSG00000048280,Zfp65 /// Zfp738,268.69573,78.7126537786,-0.366052216324,ENSG00000196350,35,0
ENSMUSG00000011349,Dmrtc2,4.63584,20.8699472759,-0.10954729132,NA,NA,NA
ENSMUSG00000054191,Klf1,153.24728,72.3143673111,-0.011906191717,ENSG00000105610,71,1
ENSMUSG00000058402,Zfp420,4.63584,20.8699472759,-0.315764932147,ENSG00000197050,51,0
ENSMUSG00000045991,Onecut2,4.63584,20.8699472759,-0.201401982425,ENSG00000119547,99,1
ENSMUSG00000029705,Cux1,215.3622,76.1917838313,-0.644892566762,ENSG00000257923,88,0
ENSMUSG00000029706,Pax4,4.70772,26.3181019332,-0.190378970336,ENSG00000106331,75,0
ENSMUSG00000029313,Aff1,11.21793,47.4956063269,0.48334295741,ENSG00000172493,67,1
ENSMUSG00000028799,Zfp362,566.30147,86.5333919156,1.46059256957,ENSG00000160094,98,1
ENSMUSG00000027102,Hoxd8,6.26522,39.4057557118,-0.393071209373,ENSG00000175879,89,0
ENSMUSG00000060397,Zfp128,12.61396,48.7972319859,-0.478103132657,ENSG00000278129,73,1
ENSMUSG00000024619,Cdx1,4.63584,20.8699472759,-0.154088740124,ENSG00000113722,85,1
ENSMUSG00000003198,Zfp959,154.78588,72.4187170475,0.24654026697,NA,NA,NA
ENSMUSG00000054519,Zfp867,7.43294,42.4923110721,-0.568183327066,NA,NA,NA
ENSMUSG00000028890,Mtf1,4.64422,22.3967486819,-0.227990311463,ENSG00000188786,83,0
ENSMUSG00000074165,Zfp788,4.64051,21.7596660808,-0.466670685277,NA,NA,NA
ENSMUSG00000046897,Zfp740,956.12084,90.8501757469,2.8895440246,ENSG00000139651,79,0
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.92865,30.5634885764,-0.151188688532,ENSG00000280755,36,0
ENSMUSG00000000782,Tcf7,132.42945,70.7381370826,1.87232427099,ENSG00000081059,67,1
ENSMUSG00000005373,Mlxipl,4.63584,20.8699472759,-0.282851229357,ENSG00000009950,82,1
ENSMUSG00000049755,Zfp672,80.13829,65.2954745167,-0.850172340691,ENSG00000171161,78,1
ENSMUSG00000003282,Plag1,4.63584,20.8699472759,-0.229458609048,ENSG00000181690,95,1
ENSMUSG00000012350,Ehf,14.08616,49.9231107206,-0.299718289219,ENSG00000135373,87,1
ENSMUSG00000074637,Sox2,4.63584,20.8699472759,-0.323127312681,ENSG00000181449,98,0
ENSMUSG00000038227,Hoxa9,6.07099,38.6643233743,-0.299394345385,ENSG00000078399,98,1
ENSMUSG00000017667,Zfp334,7.34552,42.3110720562,-0.528522777739,ENSG00000198185,70,1
ENSMUSG00000063108,Zfp26,709.67164,88.4226713533,0.565049220956,NA,NA,NA
ENSMUSG00000047473,Zfp30,5.11558,32.7877855888,-0.585896423421,ENSG00000120784,85,1
ENSMUSG00000060630,Zfp735,4.63584,20.8699472759,-0.409265154172,NA,NA,NA
ENSMUSG00000070034,Sp110,5.17239,33.2875659051,-0.280919882628,ENSG00000280755,36,0
ENSMUSG00000000247,Lhx2,4.63584,20.8699472759,-0.381882829956,ENSG00000106689,99,0
ENSMUSG00000002111,Spi1,586.27927,86.8629173989,0.547001435994,ENSG00000066336,88,1
ENSMUSG00000002057,Foxn1,4.63584,20.8699472759,-0.205100135812,ENSG00000109101,86,1
ENSMUSG00000042499,Hoxd11,4.63584,20.8699472759,-0.16388320002,ENSG00000128713,94,1
ENSMUSG00000030796,Tead2,6.01732,38.4281634446,-0.312722394428,ENSG00000074219,91,0
ENSMUSG00000014704,Hoxa2,4.86279,29.6078646749,-0.218532009835,ENSG00000105996,95,0
ENSMUSG00000029553,Tfec,48.34188,60.5777680141,-0.0714688561879,ENSG00000105967,61,0
ENSMUSG00000023994,Nfya,721.6799,88.5929261863,2.78396481928,ENSG00000001167,100,0
ENSMUSG00000039699,Batf2,5.74444,37.1210456942,-0.166863471813,ENSG00000168062,47,1
ENSMUSG00000024837,Dmrt1,4.63584,20.8699472759,-0.165846092448,ENSG00000137090,82,1
ENSMUSG00000045680,Tcf21,2430.41224,96.0566783831,2.70862499682,ENSG00000118526,96,0
ENSMUSG00000039656,Rxrb,1083.91962,91.6684973638,1.91770032056,ENSG00000204231,94,0
ENSMUSG00000029844,Hoxa1,4.63584,20.8699472759,-0.338156375753,ENSG00000105991,94,0
ENSMUSG00000025019,Lcor,15.21028,50.6425746924,-0.12015949093,ENSG00000196233,98,0
ENSMUSG00000046792,Zfp787,5.1039,32.6724516696,-0.681011096678,ENSG00000142409,92,0
ENSMUSG00000027833,Shox2,4.63584,20.8699472759,-0.307688322393,ENSG00000168779,92,0
ENSMUSG00000010175,Prox1,4.67629,24.9560632689,-0.153222130841,ENSG00000117707,98,1
ENSMUSG00000020919,Stat5b,696.40875,88.235940246,0.533862653203,NA,NA,NA
ENSMUSG00000055210,Foxd2,4.63584,20.8699472759,-1.0,ENSG00000186564,94,1
ENSMUSG00000028150,Rorc,4.71693,26.6531195079,-0.237155430416,ENSG00000143365,89,1
ENSMUSG00000027583,Zbtb46,92.14362,66.6630052724,1.15278823793,ENSG00000130584,91,0
ENSMUSG00000030067,Foxp1,1517.476,93.8653339192,1.86986054067,ENSG00000114861,92,0
ENSMUSG00000027230,Creb3l1,11.58973,47.8525922671,-0.275076850193,ENSG00000157613,90,0
ENSMUSG00000049823,Zbtb12,18.16742,52.1364235501,-0.0339911350377,ENSG00000204366,97,1
ENSMUSG00000004151,Etv1 /// Gm5454,6.5281,40.2185852373,-0.427006315316,ENSG00000006468,98,1
ENSMUSG00000000435,Myf5,4.63584,20.8699472759,-0.110913163403,ENSG00000111049,89,1
ENSMUSG00000052675,Zfp112,13.19213,49.2311072056,-0.385770592377,ENSG00000062370,62,0
ENSMUSG00000037446,Tulp1,5.26005,34.0949033392,-0.17582306953,ENSG00000112041,80,0
ENSMUSG00000037447,Arid5a,40.57002,58.8422671353,2.36517463716,ENSG00000196843,74,1
ENSMUSG00000035033,Tbr1,4.82835,29.0421792619,-0.181145975199,ENSG00000136535,99,0
ENSMUSG00000020052,Ascl1,4.63584,20.8699472759,-0.109250816584,ENSG00000139352,82,0
ENSMUSG00000015605,Srf,45.72191,60.0120826011,0.0553006337299,ENSG00000112658,96,1
ENSMUSG00000057101,Zfp180,108.32369,68.2941564148,-0.722872833639,ENSG00000167384,62,0
ENSMUSG00000072889,Nfxl1,4.97704,31.1676186292,-0.419454872362,ENSG00000170448,89,0
ENSMUSG00000008976,Gabpa,124.22832,69.9637521968,-0.400563214178,ENSG00000154727,96,0
ENSMUSG00000009406,Elk1,4.78603,28.223857645,0.221988039895,ENSG00000126767,86,1
ENSMUSG00000044452,Zfp507,7.02173,41.6135764499,-0.388795038523,ENSG00000168813,79,0
ENSMUSG00000058192,Zfp846,39.46785,58.611599297,-0.910759244845,ENSG00000170100,35,1
ENSMUSG00000030087,Klf15,36.85771,58.0184534271,-0.436591794478,ENSG00000163884,85,1
ENSMUSG00000061911,Myt1l,4.75263,27.559314587,-0.340732016791,ENSG00000186487,93,1
ENSMUSG00000068284,Gm608,678.45414,87.9778119508,0.397996220203,ENSG00000176542,83,1
ENSMUSG00000037638,Zbtb42,54.09968,61.665202109,-0.521254192728,ENSG00000179627,75,1
ENSMUSG00000044597,Mycs,4.63584,20.8699472759,-0.212186781754,ENSG00000134323,54,1
ENSMUSG00000000567,Sox9,7.36241,42.3385325132,-0.401841429075,ENSG00000125398,97,1
ENSMUSG00000048138,Dmrt2,4.63584,20.8699472759,-0.212258388871,ENSG00000173253,84,1
ENSMUSG00000003949,Hlf,12.35979,48.5665641476,-0.49101115473,ENSG00000108924,98,1
ENSMUSG00000074867,2810408B13Rik,12.50583,48.670913884,-0.255776853261,NA,NA,NA
ENSMUSG00000031860,Pbx4,4.63584,20.8699472759,-0.13334498391,ENSG00000105717,74,1
ENSMUSG00000071291,Zfp58,59.82309,62.5823813708,0.17149992633,NA,NA,NA
