mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3110.68293,96.2214411248,1.93229044935,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.45208,33.6884885764,-0.539526335549,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,5332.56445,97.7921792619,0.594672293352,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1682.96384,93.4973637961,0.581215716609,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.5505272408,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2168.85984,94.8429261863,-0.710745071325,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,7074.49954,98.3084358524,0.822698718129,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,220.31367,75.7743848858,0.768404379355,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,25.21095,58.3974077329,-0.102371022885,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.66572,23.7917398946,-0.348792463062,NA,NA,NA
ENSMUSG00000083012,Fam220a,102.6888,68.5907293497,-0.164301871639,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,2668.21883,95.6887082601,4.42621665367,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,6.00574,37.7526362039,-0.102914530773,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,53.12955,63.559973638,1.07231052419,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.5505272408,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.5505272408,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,752.86486,87.9778119508,0.361747716872,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,49.40602,62.9997803163,-0.14598295181,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.5505272408,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.5505272408,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,7.22173,43.5907293497,4.85842995198,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.5505272408,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,40.9655096661,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,1309.69455,91.9925307557,2.0773949644,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,186.05353,74.0169156415,-0.278357264368,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.5505272408,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,23.1985940246,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.5505272408,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,423.05876,82.8097539543,0.0201101700501,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.5505272408,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.0904,29.7945957821,-0.171662452181,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,6.86588,42.1902460457,-0.0494922467016,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5.33393,32.4198154657,-0.338784918296,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.93383,27.8613796134,-0.118285458941,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.5505272408,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,54.0311950791,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,37532.80406,99.8462214411,2.59882865943,NA,NA,NA
ENSMUSG00000020758,Itgb4,288.38243,78.5808435852,3.04987393018,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.5505272408,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.92521,27.6856326889,-0.122501481943,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,2083.58967,94.6452108963,2.6044773709,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,22.5505272408,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,152.09089,72.1056678383,0.367216885149,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,356.33427,80.8490773286,-0.847549866655,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.059973638,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,19.14162,56.1840949033,-0.464147378727,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,845.4146,88.9059753954,2.87530633816,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,262.59801,77.6087434095,-0.383677231304,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,219.37594,75.7194639719,1.72862789881,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,22.5505272408,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,53300.79876,99.9615553603,1.13928212829,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,25.8512741652,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,22.5505272408,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,36.5443760984,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,543.34535,85.0999560633,0.0795632438846,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,22.5505272408,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,880.59765,89.2355008787,0.223980594553,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,8.66602,47.2319859402,-0.370460740384,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,22.5505272408,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,564.34593,85.4898945518,0.228470371622,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,802.68402,88.461115993,0.427127414381,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.61411,35.1219244288,-0.173214676395,NA,NA,NA
ENSMUSG00000021598,Med10,2301.24291,95.079086116,1.27535029699,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,22.5505272408,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,29.6353251318,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,22.5505272408,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,230.97876,76.2247363796,-0.544011256752,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,327.78053,79.8605008787,-0.533640348539,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,19.05669,56.1456502636,-0.428175770708,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,4944.03437,97.610940246,2.00702844784,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,6831.05681,98.2699912127,1.64359643538,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,6.58277,40.9490333919,0.120501437761,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,19.09002,56.1566344464,-0.346271766505,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,22.5505272408,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,27.02335,58.8862038664,-0.591157911955,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1655.69903,93.3985061511,2.05515805202,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,11.02626,50.7304481547,2.33537284263,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,5.10201,29.9264059754,-0.403599692837,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,6.78208,41.7948154657,-0.231632442371,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,10.47812,50.0054920914,-0.0971219206566,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,3933.88489,97.0287785589,0.0812215482142,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.93151,27.8064586995,-0.426909637819,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,1135.37111,90.9874780316,-0.44069773857,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,174.13735,73.3084358524,0.0448246352849,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,4.99805,28.6851933216,-0.287279364286,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,22.5505272408,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,6.51359,40.7183655536,2.67849418591,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,174.32538,73.3139279438,0.0239736718283,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,22.5505272408,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,498.51419,84.3200790861,3.99767497461,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,4.63584,22.5505272408,-0.164046418312,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,14.62043,53.7181458699,-0.330869728769,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,4.63584,22.5505272408,-0.188085268602,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,22.5505272408,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,6.47708,40.5151581722,-0.343186986399,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63584,22.5505272408,-0.399039632584,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,22.351,57.480228471,-0.502225286239,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,171.5034,73.1546572935,1.12482974198,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,77.94942,66.3224956063,0.341508642097,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,104.39899,68.678602812,0.511972557754,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,8.89988,47.5944639719,-0.641484868759,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,1356.48627,92.1957381371,1.63886372394,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,5.0195,28.9213532513,-0.388874767989,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,11.3276,51.0270210896,-0.237491960075,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,5.53278,34.4189367311,1.24265505275,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,5.839,36.6542179262,-0.22845809134,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,219.19896,75.7084797891,-0.34286216027,ENSG00000139926,94,0
ENSMUSG00000084980,Slc36a1os,4.63584,22.5505272408,-0.431076076289,NA,NA,NA
ENSMUSG00000048280,Zfp65 /// Zfp738,377.90622,81.5850175747,0.176030900959,ENSG00000196350,35,0
ENSMUSG00000048281,Dleu7,4.64621,23.1656414763,-0.29479974539,ENSG00000186047,83,1
ENSMUSG00000087579,1500017E21Rik,4.63584,22.5505272408,-0.139302035736,NA,NA,NA
ENSMUSG00000058569,Tmed9,2325.99114,95.150483304,1.15804278342,ENSG00000184840,94,0
ENSMUSG00000034402,Kcnh5,4.63584,22.5505272408,-0.264295609947,ENSG00000140015,98,1
ENSMUSG00000036766,Dner,4.89247,27.3011862917,-0.382146730586,ENSG00000187957,90,0
ENSMUSG00000036764,Dnajc12,332.76991,80.0746924429,-0.0243155701173,ENSG00000108176,76,0
ENSMUSG00000055805,Fmnl1,6.91461,42.3934534271,0.0540264850242,ENSG00000184922,88,1
ENSMUSG00000070319,Eif3g,5547.0367,97.9020210896,1.46868043319,ENSG00000130811,98,0
ENSMUSG00000036769,Wdr44,78.18085,66.3444639719,-0.543899907169,ENSG00000131725,92,1
ENSMUSG00000072244,Trim6,4.63584,22.5505272408,-0.147904155289,ENSG00000121236,76,0
ENSMUSG00000021583,Erap1,15.74063,54.525483304,-0.77384371018,ENSG00000164307,84,1
ENSMUSG00000086999,Bcas1os2,4.63584,22.5505272408,-0.243128323944,NA,NA,NA
ENSMUSG00000021587,Pcsk1,4.63584,22.5505272408,-0.180140544652,ENSG00000175426,93,0
ENSMUSG00000074384,AI429214,7.23002,43.6181898067,-0.243353409423,ENSG00000164743,50,1
ENSMUSG00000021585,Cast,262.93018,77.630711775,-0.297036015587,ENSG00000153113,67,1
ENSMUSG00000086992,Gm15941,4.63584,22.5505272408,-0.281098617159,NA,NA,NA
ENSMUSG00000074388,Gm5544,235.91254,76.4938488576,9.28167175475,NA,NA,NA
ENSMUSG00000021589,Rhobtb3,32.86958,60.3416080844,-0.766814395318,ENSG00000164292,96,0
ENSMUSG00000086996,4933416E14Rik,4.63584,22.5505272408,-0.176258859816,NA,NA,NA
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,7.82629,45.4086115993,-0.0498138219752,ENSG00000280755,36,0
ENSMUSG00000037145,2210407C18Rik,4.96264,28.2403339192,-0.126227189182,NA,NA,NA
ENSMUSG00000001098,Kctd10,121.07682,70.0461335677,-0.610093701638,ENSG00000110906,98,0
ENSMUSG00000031621,Isx,4.63584,22.5505272408,-0.1665525261,ENSG00000175329,63,1
ENSMUSG00000037140,Tas2r108,5.26675,31.7552724077,1.5656282398,ENSG00000127364,67,1
ENSMUSG00000037143,4930529M08Rik,4.63584,22.5505272408,-0.176790572538,ENSG00000089101,17,0
ENSMUSG00000054293,A630033H20Rik,4.63584,22.5505272408,-0.485420824613,NA,NA,NA
ENSMUSG00000084846,A730011C13Rik,5.36614,32.7438488576,0.415677412952,NA,NA,NA
ENSMUSG00000084847,Gm15507 /// Gm15507,4.63584,22.5505272408,-0.354824253549,NA,NA,NA
ENSMUSG00000084844,Hoxb3os /// Hoxb3os,4.63584,22.5505272408,-0.450132296372,NA,NA,NA
ENSMUSG00000031627,Irf2,97.90691,68.1898066784,-0.273716226472,ENSG00000168310,93,1
ENSMUSG00000023015,Racgap1,1538.06097,93.0085676626,1.07538949416,ENSG00000161800,84,1
ENSMUSG00000001891,Ugp2,1085.37108,90.723857645,-0.289853518374,ENSG00000169764,99,1
ENSMUSG00000035242,Oaz1,14826.77997,99.2530755712,-0.744445701134,ENSG00000104904,84,0
ENSMUSG00000034520,Gjc1,5.36264,32.7108963093,-0.577258496937,ENSG00000182963,97,0
ENSMUSG00000001305,Rrp15,748.87038,87.9338752197,0.675255223846,ENSG00000067533,72,0
ENSMUSG00000033688,1300017J02Rik,4.63584,22.5505272408,-0.128119050681,NA,NA,NA
ENSMUSG00000020982,Nemf,1859.12405,94.019112478,0.0885741905585,ENSG00000165525,89,1
ENSMUSG00000020986,Sec23a,257.80347,77.4165202109,-0.73122237163,ENSG00000100934,99,0
ENSMUSG00000039656,Rxrb,741.94144,87.8569859402,0.529393494622,ENSG00000204231,94,0
ENSMUSG00000039653,Baat,4.63584,22.5505272408,-0.107800427024,ENSG00000136881,69,1
ENSMUSG00000039652,Cpeb3,4.91713,27.5648066784,-0.564410606662,ENSG00000107864,96,1
ENSMUSG00000033684,Qsox1,4.63584,22.5505272408,-0.107211253484,ENSG00000116260,73,1
ENSMUSG00000033685,Ucp2,515.11031,84.6770650264,-0.407680933931,ENSG00000175567,96,0
ENSMUSG00000024534,Sncaip,4.64093,22.907513181,-0.177202950321,ENSG00000064692,81,1
ENSMUSG00000024535,Snx24,14.22382,53.4764938489,-0.903775954088,ENSG00000064652,97,0
ENSMUSG00000024537,Psmg2,1243.10842,91.6465289982,3.08567623485,ENSG00000128789,88,1
ENSMUSG00000024530,Slmo1,5.03297,29.058655536,-0.411831854689,ENSG00000141391,90,1
ENSMUSG00000055210,Foxd2,4.63584,22.5505272408,-1.0,ENSG00000186564,94,1
ENSMUSG00000024532,1700034E13Rik,9.20271,48.0887521968,-0.101574824931,NA,NA,NA
ENSMUSG00000024533,Spire1,4.98145,28.4710017575,-0.411219618983,ENSG00000134278,71,1
ENSMUSG00000024538,Ppic,4.9985,28.6961775044,-0.509228419099,ENSG00000168938,91,0
ENSMUSG00000024539,Ptpn2,5084.26187,97.6713532513,1.85679240462,ENSG00000175354,89,1
ENSMUSG00000031594,Fgl1,5.04541,29.2014499121,-0.10872989731,ENSG00000104760,82,1
ENSMUSG00000026208,Des,4.63584,22.5505272408,-0.350832877906,ENSG00000175084,97,1
ENSMUSG00000026209,Dnpep,650.52928,86.7750439367,0.153026797549,ENSG00000123992,88,1
ENSMUSG00000086191,Zfp652os,7.24962,43.7060632689,-0.510083520747,NA,NA,NA
ENSMUSG00000049336,Tenm2,4.78664,25.9995606327,-0.430941634317,ENSG00000145934,98,0
ENSMUSG00000026200,Ankzf1 /// Glb1l,4.63584,22.5505272408,-0.229634305613,ENSG00000163521,78,1
ENSMUSG00000071713,Csf2rb /// Csf2rb2,9194.95412,98.6599297012,1.49923613184,ENSG00000100368,56,0
ENSMUSG00000026202,Tuba4a,4799.48772,97.5505272408,0.334407468501,ENSG00000127824,100,0
ENSMUSG00000071711,Mpst,119.2808,69.8978471002,3.17933627998,ENSG00000128309,79,0
ENSMUSG00000026204,Ptprn,4.65741,23.4841827768,-0.31548179623,ENSG00000054356,87,1
ENSMUSG00000026205,Slc23a3,4.63584,22.5505272408,-0.167493481592,ENSG00000213901,75,1
ENSMUSG00000026754,Golga1,31.99781,60.1768453427,-1.02245207499,ENSG00000136935,81,1
ENSMUSG00000026207,Speg,41.44263,61.8409490334,0.314416783638,ENSG00000072195,91,0
ENSMUSG00000097172,4930444M15Rik,4.63584,22.5505272408,-0.182214175193,NA,NA,NA
ENSMUSG00000059218,Gm13084 /// Oog2,4.63584,22.5505272408,-0.139506626847,NA,NA,NA
ENSMUSG00000097170,Gm16982,5.71199,35.8633567663,-0.202755297746,NA,NA,NA
ENSMUSG00000030082,Sec61a1,212.3777,75.3185413005,0.308312612176,ENSG00000058262,100,0
ENSMUSG00000054920,Klhl5,6.50369,40.6689367311,-0.213330606533,ENSG00000109790,91,0
ENSMUSG00000067220,Cnga1,27.64091,59.0454745167,-0.164407121773,ENSG00000198515,81,1
ENSMUSG00000030087,Klf15,14.61542,53.7126537786,-0.472667179228,ENSG00000163884,85,1
ENSMUSG00000030086,Chchd6,1544.46841,93.0470123023,0.782852417075,ENSG00000159685,68,1
ENSMUSG00000059743,Fdps,5.94582,37.329745167,1.11869718938,ENSG00000160752,71,1
ENSMUSG00000059742,Kcnh7,4.63584,22.5505272408,-0.250050860517,ENSG00000184611,94,0
ENSMUSG00000059741,Myl3,86.1207,67.0584358524,-0.123582895817,ENSG00000160808,95,1
ENSMUSG00000045482,Trrap,818.75089,88.6423550088,0.155223023929,ENSG00000196367,98,0
ENSMUSG00000067229,Cyp2c65,4.63584,22.5505272408,-0.16526031134,ENSG00000138115,72,1
ENSMUSG00000056749,Nfil3,1867.05545,94.0355887522,6.37851992063,ENSG00000165030,84,0
ENSMUSG00000073409,H2-Q6 /// H2-Q8 /// LOC68395,19.26827,56.2390158172,-0.505944147887,ENSG00000204592,58,0
ENSMUSG00000032309,Fbxo22,5.12465,30.2614235501,0.86343005364,ENSG00000167196,92,1
ENSMUSG00000073406,H2-Bl,23.68079,57.9250878735,-0.119675251772,NA,NA,NA
ENSMUSG00000073400,Trim10,4.63584,22.5505272408,-0.147232446346,ENSG00000204613,84,0
ENSMUSG00000031428,Zcchc18,6.27986,39.5540421793,-0.407443173097,ENSG00000166707,63,0
ENSMUSG00000031429,Psmd10,835.02063,88.7906414763,0.792080994215,ENSG00000101843,94,0
ENSMUSG00000031938,4931406C07Rik,266.4866,77.7954745167,-0.213960470158,ENSG00000182919,88,0
ENSMUSG00000031939,Taf1d,1372.43962,92.2616432337,2.07497719116,ENSG00000166012,56,1
ENSMUSG00000041346,Wrap53,4.63584,22.5505272408,-0.291797110708,ENSG00000141499,77,1
ENSMUSG00000041347,Bdkrb1,5.39002,33.0568980668,-0.0403034764049,ENSG00000100739,68,0
ENSMUSG00000041836,Ptpre,764.027,88.0821616872,1.31934038185,ENSG00000132334,93,0
ENSMUSG00000041837,Pdcd7,145.20307,71.6663005272,0.0184197011171,ENSG00000090470,91,1
ENSMUSG00000031932,Gpr83,4.63584,22.5505272408,-0.244978174652,ENSG00000123901,89,0
ENSMUSG00000031933,Folr4,4.63584,22.5505272408,-0.200262973295,ENSG00000183560,65,1
ENSMUSG00000031930,Wwp2,79.86691,66.5311950791,-0.434995811632,ENSG00000198373,96,0
ENSMUSG00000031931,Ankrd49,476.99526,83.8971880492,1.79367431532,ENSG00000168876,87,1
ENSMUSG00000031936,Hephl1,4.63584,22.5505272408,-0.191297122373,ENSG00000181333,87,1
ENSMUSG00000031425,Plp1,30.99397,59.9242091388,-0.362984146744,ENSG00000123560,100,1
ENSMUSG00000031934,Panx1,211.25537,75.2526362039,0.391914040278,ENSG00000110218,86,0
