mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2975.99449,96.2818541301,1.75533971679,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.89068,28.6028119508,-0.57475893541,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4183.05871,97.2649384886,0.252951452465,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,694.23174,88.3952108963,-0.735067750682,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.1889279438,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1708.05968,94.0410808436,-0.986041507545,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2014.40721,94.7550527241,-0.503470442358,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,21.62684,52.0869947276,-0.626040916774,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.02384,45.2438488576,-0.128663291587,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.63584,20.1889279438,-0.349003751259,NA,NA,NA
ENSMUSG00000083012,Fam220a,36.42488,57.1561950791,-0.34166639633,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,111.49816,68.9696836555,-0.931947009096,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.1889279438,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.08484,47.0507469244,-0.798369067539,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.70546,25.0768892794,-0.112648368622,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.1889279438,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,414.57137,83.5731546573,-0.453758935695,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,4.66031,23.2150702988,-0.47521329892,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.1889279438,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.1889279438,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.1889279438,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.1889279438,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,16.68816,49.5276801406,2.42995414299,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,121.60053,69.8648945518,-0.83717250809,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,111.75183,68.9916520211,-0.812343840601,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.1889279438,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64671,22.3033831283,-0.110515709266,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.1889279438,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,35.34283,56.8101933216,-0.97742523724,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,372.67599,82.5681019332,5.77289165579,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.1889279438,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.1889279438,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,280.24679,79.4321177504,-0.150004339371,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.1889279438,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.1889279438,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.5171353251,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,9325.97281,98.7423110721,-1.15075671694,NA,NA,NA
ENSMUSG00000020758,Itgb4,5.60305,34.4189367311,-0.37835022325,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.1889279438,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.1889279438,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,618.57048,87.3901581722,-0.428897074561,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.1889279438,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,204.20155,75.7029876977,1.21554211396,ENSG00000185324,97,0
