mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,46.98643,63.8949912127,2.06710553846,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,29.77795,58.7653778559,-0.749852150082,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.7445079086,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.7445079086,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,18.7445079086,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,25.81406,57.1726713533,-0.720867883678,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,66.64296,67.4099297012,-0.281066645004,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,37.36535,61.2862478032,-0.183597449437,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,40.0263620387,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,8.17143,42.1408172232,-0.548623751424,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.7445079086,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,21.2598857645,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.7445079086,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,12.35122,48.2370386643,-0.534344635356,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,9.88916,45.1559753954,-0.358578148289,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.60572,33.1612478032,-0.408155833134,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.7445079086,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2021.21536,97.1550966608,0.523670955288,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,6.08341,35.7260544815,-0.387448442297,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1419.73384,95.8754393673,-0.258873752559,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.7445079086,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,66.2785588752,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,11.09406,46.8365553603,-0.165247290986,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,121.33632,74.4233304042,-0.883155133865,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,18.7445079086,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,315.80954,85.110940246,-0.60440822868,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.05894,35.5887521968,0.343250395612,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,362.40963,86.4180579965,-0.961088002697,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,33.1702,59.940685413,-0.687477068628,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,62.56088,66.7673550088,-0.302873414842,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,71.9847,68.255711775,-0.640613575188,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,28.959797891,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,391.17531,87.1155536028,0.731646190996,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,18.7445079086,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.87641,26.1698154657,-0.190313581133,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,18.7445079086,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,18.7445079086,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.14214,36.0336115993,-0.433702693992,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,18619.57133,99.928602812,1.23572327243,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,89.59791,70.7491212654,6.07024458422,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,21.6333479789,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67781,21.2818541301,-0.312252077364,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,126.05588,74.928602812,0.717384958944,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,36.25041,60.9127855888,-0.283746220343,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,550.29286,90.0702987698,0.656254112533,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1132.83911,94.9253075571,-0.925108663546,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,26.2961335677,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,18.7445079086,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,31.80752,59.4793497364,-0.750479555157,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,26.4224516696,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,995.06979,94.2333040422,6.9881242148,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,18.7445079086,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,23.03686,55.882029877,-0.12429344219,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,8898.05375,99.7089191564,2.5381141578,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,24.8791739895,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,9.32134,44.3047012302,-0.242351862667,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,33.6665202109,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,18.7445079086,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.78686,24.5716168717,-0.252795593503,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,24.43627,56.5575571178,-1.10900136142,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,186.07763,79.2673550088,0.42646571575,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,18.7445079086,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.91258,26.7739455185,-0.249221789495,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,117.98913,74.0883128295,-0.68991481155,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,18.7445079086,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,768.91931,92.5637082601,3.74283676329,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,34.38731,60.3690685413,3.45008604658,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,5.33713,31.2335237258,-0.140632160998,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,5.00088,27.9163005272,-0.169706171247,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,5.38794,31.6564147627,-0.553073294965,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,17.45526,52.6856326889,-0.642981684713,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,101.68883,72.2210017575,-0.713397681237,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,18.7445079086,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,11.67753,47.5779876977,-0.574588628937,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.22471,30.316344464,-0.277648275296,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,751.80466,92.4483743409,0.105471421931,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,361.06453,86.3576449912,0.0459326452429,ENSG00000104447,92,1
