mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1405.58071,92.8218365554,-0.307835629202,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.84177,29.4101493849,-0.577828451725,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2872.51351,96.0182337434,-0.136642607122,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1721.403,93.9532073814,0.632389164709,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.380711775,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3505.59884,96.7486818981,0.0878646402176,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,3252.00325,96.4960456942,-0.179116340821,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,76.86332,63.6698154657,-0.238374307414,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,8.66089,43.0195518453,-0.133042429856,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.97154,31.1017135325,-0.346629941094,NA,NA,NA
ENSMUSG00000083012,Fam220a,105.46032,67.0364674868,-0.156883515957,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,443.93419,83.9905536028,-0.235255079844,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.380711775,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,30.44525,54.7836115993,0.0126185683061,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.65524,24.1432337434,-0.112990760271,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.380711775,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,374.73509,81.9474956063,-0.549790199417,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,37.30228471,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.380711775,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.380711775,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.380711775,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.380711775,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,39.0213093146,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,364.33448,81.6344463972,-0.241710816313,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,162.15794,72.3528119508,-0.450088520734,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.380711775,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.66564,24.829745167,-0.110506195963,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.66607,24.8626977153,-0.10890910336,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,276.26516,78.4984622144,-0.357567924228,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.78574,28.4874780316,-0.268094119953,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.380711775,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.380711775,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,91.09328,65.4327768014,-0.279894622144,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.380711775,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.380711775,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,48.5445957821,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,22641.08714,99.5166959578,0.619245646461,NA,NA,NA
ENSMUSG00000020758,Itgb4,69.9546,62.7032073814,0.401804037009,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.380711775,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.380711775,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,678.57266,87.7306678383,-0.304660422422,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.380711775,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,119.48291,68.4314586995,-0.163618304708,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,13696.88388,99.1047891037,0.674196172772,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,13.09987,47.2045254833,-0.131520297541,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,22.86396,52.3506151142,-0.419439425784,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,206.71985,75.1537785589,-0.533345728958,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,195.66027,74.5880931459,-0.691139315176,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,6.81741,39.762741652,-0.517848686702,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.380711775,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,50374.76822,99.9395869947,0.911141440189,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,36.91301,56.3982864675,-0.0966770130168,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63728,21.776142355,-0.374193890222,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,13.34225,47.4297012302,-0.0314879225957,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,369.2218,81.7937170475,-0.425711733195,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,8.25008,42.4978031634,-0.149108681746,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,215.5137,75.6535588752,-0.343305627931,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.68757,25.8677504394,-0.375195292491,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.380711775,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.81865,29.0476713533,-0.170794618396,ENSG00000077984,70,0
