mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,11.68793,49.3793936731,-0.148173988118,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,96.51185,68.75,1.26871552935,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.4960456942,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.4960456942,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.4960456942,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,27.09046,57.2770210896,-0.715486418188,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,10.22212,47.6933216169,-0.313398839987,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,178.60211,75.1482864675,0.246500323515,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,42.9536467487,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,7.397,42.915202109,-0.549382564484,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.4960456942,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,8.53574,45.2163884007,3.02564670155,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,390.35117,83.7543936731,2.63843960445,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.95389,47.2869068541,-0.541126147684,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,10.13091,47.5670035149,-0.35294716726,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.47357,34.5397627417,-0.439873903519,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.4960456942,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,3252.33362,97.4242091388,1.65590329666,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,45.9753,61.6432337434,-0.333967576803,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2099.2134,96.0731546573,-0.0880134512846,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.4960456942,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,63.900483304,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.37179,33.7214411248,-0.173012305103,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,154.3466,73.6269771529,-0.516357527555,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.4960456942,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,520.41779,86.6542179262,0.0762143796565,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.1443321617,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,4277.30587,98.0283391916,2.23728856671,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,77.83058,66.5806239016,-0.275036889917,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,80.09308,66.8497363796,-0.0102632212675,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,107.85529,69.9033391916,-0.338689952394,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.11839,31.0303163445,-0.197460289657,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,606.27089,88.0162565905,1.63687451366,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,21.4960456942,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,5.16978,31.5740333919,0.0626599594436,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,21.4960456942,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.4960456942,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,119.465,71.0347100176,0.408745602167,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,1353.57766,93.9037785589,-0.733795094667,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,5.23558,32.4417838313,-0.126850464765,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,22.6219244288,-0.410119372025,NA,NA,NA
