mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,30.5415202109,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,47.11998,60.0724956063,-0.225290251949,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.1331282953,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.1331282953,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.1331282953,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,236.56652,75.7249560633,0.1676914161,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,19.26842,53.7016695958,-0.308214820475,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,22.1331282953,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,44.0081282953,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,2122.56936,94.4749560633,1.52313581684,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.1331282953,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.670913884,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.1331282953,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.08959,46.8090949033,-0.543571059775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.7558,50.9721001757,-0.268514129731,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.96895,30.7007908612,-0.560990609369,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.97963,30.882029877,-0.147823795264,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1371.69025,92.0639279438,-0.0736829789117,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,88.62415,65.4492530756,-0.276790606488,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2053.93039,94.3101933216,-0.0994002084244,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.1331282953,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,79.31329,64.4332161687,0.0843208393808,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.87776,29.2728471002,-0.173682694638,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,175.5356,72.4077328647,-0.28091346346,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.1331282953,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,564.95441,85.110940246,0.224363980031,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,35.6162126538,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,2235.54807,94.7934973638,0.569221290443,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,151.71748,70.6557557118,0.407311228042,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,268.68585,77.0760105448,3.13732618203,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,90.48217,65.6359841828,-0.484919923232,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.49019,36.2258347979,-0.147881842963,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,97.26372,66.2785588752,-0.505278787317,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.35315,35.1933216169,-0.110855496942,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,22.1331282953,-0.397757575599,ENSG00000164458,91,0
