mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2255.11253,94.8594024605,0.808260732776,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.76156,26.3181019332,-0.582862307862,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3419.3993,96.4576010545,0.0259335902169,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1923.85776,94.0960017575,0.901913997029,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.7157293497,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3940.2688,97.0177943761,0.347550077219,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,7201.65367,98.3633567663,0.856023779182,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,125.60054,69.0740333919,0.103678495862,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,12.92586,51.3126098418,-0.125138372071,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,110.09938,67.8383128295,0.396752648317,NA,NA,NA
ENSMUSG00000083012,Fam220a,122.22469,68.8653339192,-0.112011366576,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1347.01345,91.9485940246,1.65734372155,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.7157293497,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,56.77645,62.2858084359,1.24267463478,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,8.40289,46.5619507909,-0.0874399027972,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.7157293497,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1537.54127,92.788884007,2.25332663099,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,34.8583040422,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.7157293497,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.7157293497,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.72343,25.1208260105,-0.177798825553,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.7157293497,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.52596,36.6432337434,-0.771627413145,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,1363.8945,92.0584358524,2.21035532665,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,148.05152,70.6557557118,-0.551467613255,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.7157293497,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,21.7157293497,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.7157293497,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,452.96743,82.6340070299,0.0970607284395,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.7157293497,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.7157293497,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.7157293497,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,4.67118,23.2919595782,-0.339240023701,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,23.75998,56.0303163445,2.48737660128,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.7157293497,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,52.6032513181,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,27977.80705,99.6539982425,1.32866552971,NA,NA,NA
ENSMUSG00000020758,Itgb4,5.11071,32.7713093146,-0.384319017296,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.7157293497,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.28251,34.8308435852,-0.0914962624128,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1149.8873,90.8501757469,0.671213337121,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.7157293497,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,158.27782,71.2763620387,0.46793579387,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,1710.01147,93.3655536028,-0.693136969287,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.84486,28.3831282953,-0.133239361076,ENSG00000171557,80,1
