mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1416.84926,92.3714850615,-0.293031254176,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,26.625659051,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2195.34895,94.7880052724,-0.33794759831,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1529.71532,92.9261862917,0.377198376358,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.3363356766,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3411.21712,96.5015377856,0.0314780470352,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5674.27605,97.8031634446,0.455722566485,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,183.23896,72.5065905097,0.508202659066,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.13562,48.967486819,-0.128456135246,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,72.98174,63.559973638,0.13428547182,NA,NA,NA
ENSMUSG00000083012,Fam220a,45.77133,59.9132249561,-0.316649333322,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1339.20268,92.0199912127,1.64097455597,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.3363356766,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,88.54132,65.2789982425,2.72656336922,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.70564,25.3295254833,-0.112647141412,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.3363356766,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,827.58286,88.4061950791,0.541866542293,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.44971,36.0830404218,-0.469405045212,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.3363356766,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,22.3363356766,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.3363356766,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.3363356766,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.67512,37.5933655536,-0.728844816084,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,438.41951,82.3429261863,-0.0599694599874,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,113.2158,67.5582161687,-0.801822677182,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.11562,33.0239455185,-0.105831018783,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,22.3363356766,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.3363356766,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,181.51186,72.4077328647,-0.601354068655,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,16.78392,52.5867750439,-0.0710765726961,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,22.3363356766,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.722,25.9116871705,-0.135586399855,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.31912,40.894112478,-0.338108395784,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,22.3363356766,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.3363356766,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,51.6586115993,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,35661.87028,99.8681898067,2.35012202949,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,24.5386643234,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.3363356766,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,22.3363356766,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,781.05357,87.9119068541,-0.0924700458977,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,22.3363356766,-0.17149379688,ENSG00000147614,93,0
