ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,4.9,49.019906561,-0.0506944836149,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,6.2,53.3719276864,0.0138312486948,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,20.3,80.3016453382,5.16656917227,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.3,25.4265691651,-0.79405761579,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,15.4,74.1824091001,0.099676012079,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,18.5354458663,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,18.5354458663,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,12.9,70.1452366443,-0.0143028858586,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,16.3,75.4265691651,1.92708664008,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,12.8,69.9471866748,5.33345995179,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,4.2,46.4858825919,-0.454451323741,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,14,71.998781231,0.0449609090116,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,18.5354458663,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,5.6,51.4218972171,-0.518462234693,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,18.5354458663,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1,32.0434694292,-0.571449146123,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,24.5,83.8208409506,0.959518687283,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,9,61.3853341458,-0.12745825013,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,19.5,79.3570993297,1.49453652632,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,9.2,61.9236238066,1.89848646358,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.2,23.8472476132,-0.182240751737,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.7,29.7785902905,-0.264866774547,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,18.5354458663,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,5.5,51.0968921389,-0.268518231079,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,11.2,66.6412756449,0.525044653917,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,15.7,74.517570587,0.148399550676,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0.7,29.7785902905,0.605484661905,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,14.9,73.3851310177,1.16999090134,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.8,30.5149299208,-0.476431374469,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,18.5354458663,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,8.8,60.9130611416,-0.00549708856212,NA,NA,NA,NA
ENSG00000169740,ZNF32,33.9,88.7568555759,1.74674758942,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.6,28.9254519602,-0.223449129154,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,46.4,92.1389396709,0.896875584255,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0.2,23.8472476132,-0.597410141917,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,18.5354458663,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,11.9,68.1241113142,1.55864819551,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,18.6,78.3566930733,0.717404199211,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.1,21.7854966484,-0.263590653682,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,6.5,54.3520211253,-0.479019682555,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,5.2,50.0609384522,-0.356482063412,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,18.5354458663,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,39.5,90.5088360756,-0.0679667395426,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,0.2,23.8472476132,-0.431859725399,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,12.4,69.0991265489,0.633025429175,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,18.5354458663,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,13.5,71.2116595572,-0.206911368872,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,18.5354458663,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,5.3,50.4011781434,5.37653006813,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,9.9,63.787324802,3.16217733984,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,3.2,42.5604306317,-0.428122841164,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,2.7,40.4377412147,-0.529182251528,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,10.3,64.681088767,1.34854478794,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,74.3,95.6784481008,2.78234889522,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.3,25.4265691651,-0.472099596855,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,27.4,85.6896201503,1.17540852342,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,16.1,75.132033313,2.04013988155,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,9.8,63.5131017672,-0.258225814563,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,4.2,46.4858825919,-0.438287717429,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,45.1,91.8444038188,1.83292066027,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,376.6,99.3144424132,0.429425261116,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,14.4,72.5726183222,-0.0978399663876,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,25.7,84.6282754418,2.30238395043,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,19.1,78.8797481211,-0.224887332716,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,6.4,54.0625634776,-0.00786551112996,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,17,76.5234613041,0.430075448679,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,6.7,54.9461710339,0.168371772345,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,6.4,54.0625634776,-0.535495288379,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,10.3,64.681088767,-0.0222707473127,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,2.7,40.4377412147,-0.30261364525,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,7.5,57.2821450335,0.082591834392,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,2,37.2943327239,-0.334600436975,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,16.4,75.5789152956,0.0409365000603,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,1,32.0434694292,-0.644257396748,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,4.5,47.6792606134,0.181305904732,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,11.8,67.8752793012,1.61186717391,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,91.6,96.7397928093,-0.207267145161,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0,18.5354458663,-0.180318926688,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,18.5354458663,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,9.4,62.4974608978,-0.250819820862,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,4.6,47.9991874873,0.0677320583241,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,1,32.0434694292,-0.616576240626,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0.6,28.9254519602,-0.214711915261,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,9.5,62.7209018891,-0.0378765919434,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,6.4,54.0625634776,-0.812419287874,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,0.6,28.9254519602,0.0949157995752,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,15.1,73.6949014828,-0.20861673425,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,3,41.7479179362,1.21074304957,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,1.2,33.4044281942,-0.0218256616155,ENSMUSG00000046613,84,0,NM_138345
ENSG00000189157,FAM47E,16.5,75.7414178347,4.82492132173,ENSMUSG00000057068,31,0,NM_001136570
ENSG00000149243,KLHL35,0.4,26.7773715214,0.185102868758,ENSMUSG00000035298,89,0,NM_001039548
ENSG00000184702,5-Sep,39.8,90.6154783668,0.709696787461,ENSMUSG00000072214,99,0,NM_001009939
ENSG00000169813,HNRNPF,115.5,97.51167987,1.30099538265,ENSMUSG00000042079,98,0,NM_001098208
ENSG00000145191,EIF2B5,16.3,75.4265691651,0.586178791726,ENSMUSG00000003235,88,0,NM_003907
