mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.20327,34.7100175747,-0.492382807422,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,32.64534,58.8202987698,-0.663119308478,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.3642355009,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.3642355009,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.3642355009,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,205.25826,75.2032073814,0.0356917915977,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,62.12686,64.5375659051,-0.283654614729,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.3642355009,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,39.5705184534,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,467.89712,83.4468365554,-0.0981687620759,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.3642355009,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,22.7537346221,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.3642355009,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.08959,43.7554920914,-0.543571059775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.12428,49.3574253076,-0.283223859367,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,26.6146748682,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.3642355009,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,420.68853,82.4307996485,-0.9482983096,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,9.96803,45.0735940246,-0.382240545661,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3199.74319,96.1610281195,0.188723131462,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.3642355009,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,185.36881,74.2805360281,2.70981119793,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,7.59629,40.0977592267,-0.169993699916,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,250.97022,77.1089630931,0.557287183397,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.3642355009,-0.206692568841,ENSG00000136944,92,0
