mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,564.91728,90.8831282953,-1.41228089397,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,85.2112,72.1221441125,4.46603326595,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1119.37955,95.2713093146,-0.657807826356,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,226.73051,82.3154657293,-1.35744477272,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,18.7554920914,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2721.70456,98.2260544815,-0.380458334447,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1116.10637,95.249340949,-0.738900705909,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,166.37391,79.157513181,0.389838549872,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,27.26867,60.5777680141,-0.0985575522656,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,11.49972,49.3079964851,-0.300467712777,NA,NA,NA
ENSMUSG00000083012,Fam220a,51.85783,67.0858963093,-0.300357976283,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,257.10995,83.7214411248,-0.626785866072,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.7554920914,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.36506,51.7025483304,-0.78527865347,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,18.7554920914,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.71661,31.2005711775,-0.106768138612,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,164.98178,79.0971001757,-1.05543167571,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,27.2847100176,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,18.7554920914,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.02139,23.9784710018,0.370059284609,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,7.04505,38.7961335677,4.50226740128,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.7554920914,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,17.32225,55.2010105448,2.61182607226,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,186.23061,80.3053602812,-0.678625519601,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,190.46202,80.5525043937,-0.246674618056,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.00466,23.7972319859,-0.106731525916,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.42337,28.8115114236,-0.110125397518,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,18.7554920914,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,421.64506,88.4281634446,0.0164729302667,ENSG00000143458,78,1
