ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.4,60.0192971765,0.219676095665,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3.5,52.0262035344,-0.257764180222,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,21.7448710136,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.3,29.8852325818,-0.79405761579,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,9.4,71.9429209831,-0.609131184927,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,21.7448710136,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,21.7448710136,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,13.6,79.5297582775,0.0827833696666,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,9.8,72.8163721308,0.0425825444681,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0,21.7448710136,-0.361496242822,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,2,44.0838919358,-0.535324360119,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7.4,66.554946171,-0.619077131775,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,21.7448710136,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,8.4,69.525695714,0.465737261674,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,21.7448710136,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,1.5,41.1029859842,-0.366903590464,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,17.1,83.7599024985,0.242302698809,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,30.6,91.788543571,1.41004859961,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,7.6,67.2811293926,-0.522187461003,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,0.8,35.8267316677,-0.471755809574,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0.1,25.512898639,-0.185088263483,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,16.2,82.9219987812,-0.239168656286,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,21.7448710136,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,9.6,72.39488117,-0.175170080794,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,8.4,69.525695714,-0.287459680987,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,9.8,72.8163721308,-0.821075714641,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,21.7448710136,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,12.2,77.4172252691,0.480446468352,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.3,29.8852325818,-0.64287028258,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,21.7448710136,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,3.2,50.512898639,-1.41275176047,NA,NA,NA,NA
ENSG00000169740,ZNF32,17.3,83.9681088767,-0.239705674335,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,18.3,84.9634369287,5.50331950221,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,4,54.2047531993,-0.879333425696,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,1.1,38.1931748934,-0.487048294019,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0.6,33.7954499289,-0.0875707236743,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,9,71.0745480398,0.237711642603,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,8.5,69.8202315661,-0.943520135925,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0.2,27.9098110908,-0.236642088449,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,2,44.0838919358,-0.578728896617,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,6.5,63.7568555759,-0.0766772740168,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,21.7448710136,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,24.9,89.6252285192,-0.970070737109,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,0,21.7448710136,-0.478944942478,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,6.6,64.1427991062,-0.831931175001,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,21.7448710136,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,11.8,76.7215112736,-0.262911261741,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,21.7448710136,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0.5,32.6020719074,0.198881049542,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,4.2,55.1696120252,0.360909021303,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,0.7,34.8263254113,-0.805323582277,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,1,37.4568352631,-0.903046075985,ENSMUSG00000020399,61,1,NM_032782
