mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.75331,25.7469244288,-0.583380065163,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,32.84743,56.5246045694,-0.657006488122,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.11859,30.6403778559,-0.188756078237,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.7934973638,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63988,20.7546133568,-0.359244727904,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,150.69481,72.1605887522,-0.194354685323,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,199.7904,75.6480667838,-0.204765955551,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.7934973638,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,40.0648066784,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,125.35748,70.1065465729,-0.433800842779,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.7934973638,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,23.500659051,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,13.54663,47.7866871705,-0.253144135973,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,583.04799,86.8684094903,1.08002934777,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,87.44007,66.2565905097,1.44778256732,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.72357,40.7348418278,0.100161347087,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.65023,22.045254833,-0.15150143862,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,417.77187,83.7653778559,-0.950980697546,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,25.72311,54.157513181,-0.361118575398,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,172.41858,73.7258347979,-0.572520657709,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,19.7934973638,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.18278,62.2803163445,-0.414026252007,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.17945,31.2005711775,-0.173273306911,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,163.77232,73.0887521968,-0.411622531858,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.7934973638,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,395.63665,83.1942003515,-0.338865975012,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.12342,30.7007908612,-0.535384006427,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1102.00884,91.7014499121,-0.356853142052,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,16.06258,49.4782513181,-0.845466540507,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,107.07294,68.4204745167,0.440027219021,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,117.34891,69.3596221441,-0.258781923454,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.09266,30.3822495606,-0.200891310188,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,34.73547,57.112258348,-0.768428512971,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,19.7934973638,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63852,20.4141036907,-0.395446606213,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.7934973638,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.7934973638,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.20333,31.4147627417,-0.440681858522,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,14375.15236,99.3244727592,0.751565726747,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,19.7934973638,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,22.7427504394,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.65723,22.5285588752,-0.312268761797,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,13.31277,47.610940246,-0.467279303086,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,27.23541,54.750659051,-0.633150071823,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,91.39085,66.7179261863,-0.0449170284492,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,199.77981,75.6425746924,-1.31511558912,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.026142355,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,19.7934973638,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,94.21613,67.1023725835,0.739073747163,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63811,20.3152460457,-0.38506604251,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,110.23642,68.6950790861,-0.171340835751,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,19.7934973638,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,16.15797,49.5661247803,-0.137350544409,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,5540.48909,97.907513181,1.33841124288,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.6531195079,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,26.13538,54.283831283,-0.219376828231,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.35244,32.480228471,-0.280835369033,ENSG00000102878,86,1
