mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,25.7853690685,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,25.36482,53.0920474517,-0.883340550777,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,223.22462,75.8402899824,8.26181355497,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,19.9253075571,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.65436,22.2814147627,-0.330770407062,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,63.82733,61.7256151142,-0.560599080298,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,3665.82274,96.605887522,1.78145816719,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,19.9253075571,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,17.29683,49.4782513181,-0.0959492585266,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,88.57516,65.2021089631,-0.469841420724,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,19.9253075571,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.71998,25.1867311072,-0.4064194204,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,19.9253075571,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,14.44387,47.6713532513,-0.528424994851,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.83917,48.0173550088,-0.24327964817,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.97519,29.3991652021,-0.559492911607,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,19.9253075571,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,543.14528,85.5393233743,-0.835677534428,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,20.85068,51.2686731107,-0.367650774636,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,339.71442,80.7172671353,-0.530452846833,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63828,20.4964850615,-0.231430744935,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,44.58459,57.9580404218,-0.775416277695,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.75156,25.9226713533,-0.173853945694,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,141.98002,70.3701669596,-0.653770234816,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,19.9253075571,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,245.03866,76.8892794376,-0.839825231367,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.1173110721,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,679.80854,87.6812390158,-0.701780686573,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,49.41661,58.9685852373,-0.537440901363,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,147.5018,70.9083919156,1.11477976295,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,111.65148,67.6131370826,-0.306737329434,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.12713,31.05228471,-0.196294836123,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,18.54155,50.1757469244,-0.836580517949,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.72188,25.2196836555,-0.115463293443,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,19.9253075571,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,19.9253075571,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,19.9253075571,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,92.72975,65.5975395431,0.209994301592,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,9480.84598,98.7478031634,0.193276033501,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,5.04224,30.1570738137,-0.141052850555,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.165202109,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,23.7752636204,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,213.34907,75.2581282953,1.63463056723,ENSG00000121297,95,1
