ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0.9,37.7590673575,-0.0638183347714,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,3.4,62.5647668394,-0.221438275544,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,22.7979274611,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,2.9,59.3911917098,-0.63048238033,NA,NA,NA,NM_023074
ENSG00000079263,SP140,2.7,57.4481865285,-0.217095093219,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,1.4,44.6243523316,-0.616579430704,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,4.7,69.0414507772,-0.613541492746,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,19.5,92.5518134715,-0.484682058177,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,3.5,63.4715025907,-0.852837897858,NA,NA,NA,NM_001289166
ENSG00000198416,,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0.3,28.7564766839,-0.223168293963,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,22.7979274611,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,22.7979274611,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,10.8,84.7797927461,-1.01753375954,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,22.7979274611,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,2.7,57.4481865285,-0.368452734805,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,60,98.3160621762,3.11325751325,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,5.7,73.1865284974,-0.113588659874,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,22.7979274611,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,2.9,59.3911917098,-0.579641350688,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,4.4,67.9404145078,-0.0491748003749,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,3.9,65.2202072539,0.021725376752,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,23.6,94.3652849741,0.730560479695,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,1.8,48.5751295337,-0.385849243423,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3.5,63.4715025907,-0.127009677203,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,25.2,95.207253886,-0.108779492403,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,4.9,69.7538860104,-0.301194500398,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,22.7979274611,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,22.7979274611,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,11.5,86.0103626943,2.56358781988,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,4.4,67.9404145078,-0.439676429312,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,22.7979274611,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,1.4,44.6243523316,-1.01923083386,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,22.7979274611,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0.1,25.5829015544,-0.3259720062,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,8.8,81.1528497409,-0.441913760966,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,8.1,79.5984455959,0.0930772032529,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,22.7979274611,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,4.5,68.1347150259,-0.987638599325,ENSMUSG00000022987,79,0,NM_152320
