ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,1.9,47.8316067439,-1.67291795929,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,2.4,51.1476741824,-0.36841416978,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,25.0050782043,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,0.5,35.8622790981,-0.554342109136,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,5.8,66.7072923014,-1.03441550313,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,25.0050782043,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,25.0050782043,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,10.6,77.853950843,-0.333300582584,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,6.5,68.8452163315,-0.914165688687,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.4,34.587649807,-0.183528861741,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,2.2,49.8527320739,-0.527972265903,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,23.5,88.919358115,1.00077324045,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,25.0050782043,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,11.8,79.5805403209,1.66083665012,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,25.0050782043,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,0.4,34.587649807,-0.816903812915,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,3.5,57.3633963031,-1.07582398271,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,0,25.0050782043,-0.768086104189,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,5.9,67.0424537883,-0.810290887763,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.7,53.0824700386,0.0643704188765,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,25.0050782043,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,1.6,45.7749339833,-0.263374625745,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,25.0050782043,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,5.5,65.6459475929,-0.268518231079,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,6,67.4080845013,-0.983891968048,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,6.9,69.90656104,-1.29759745522,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,25.0050782043,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,8.4,73.8929514524,-0.490023474366,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,0.6,36.9896404631,-0.543006937713,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,25.0050782043,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,6.3,68.2764574446,-0.633735781376,NA,NA,NA,NA
ENSG00000169740,ZNF32,23.8,89.066626041,0.538122410871,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.4,34.587649807,-0.288158379226,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,27.8,90.7119642494,0.117689556305,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0,25.0050782043,-0.621934997005,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,25.0050782043,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,10.4,77.5492585822,0.875405150905,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,14,82.2669104205,-0.0390563890688,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0,25.0050782043,-0.290539218915,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,6.2,67.9971562056,-0.485666963492,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,2.5,51.7976843388,-0.937615087539,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,25.0050782043,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,93.5,97.4710542352,3.26858229255,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,2.4,51.1476741824,0.086077662473,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,5.5,65.6459475929,-1.10976777234,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0,25.0050782043,-0.187655855866,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,31.2,91.7631525493,0.376146339233,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,25.0050782043,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0,25.0050782043,-0.340457389894,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,1.2,42.6467601056,-1.1134427253,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,6,67.4080845013,-0.0056580111167,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,1,40.8541539712,-0.903046075985,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,2.7,53.0824700386,-1.6248558687,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,100.1,97.5929311395,3.97175874759,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,0.3,33.1352833638,-0.472099596855,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,8.8,74.8121064392,-1.00200558532,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,9.6,76.3304895389,0.699807931574,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,4.5,61.7408084501,-1.04875105193,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,1.1,41.6514320536,-0.711391621756,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,18,85.7759496242,-0.644879490293,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,0,25.0050782043,-0.202669924877,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,16.7,84.7501523461,0.128607251415,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,15.9,84.1052203941,0.0502703919307,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,15.4,83.7141986594,-0.470068365805,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,4.2,60.4966483851,-0.403388356522,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,22.2,88.3607556368,1.4612649971,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,3.7,58.3790371725,-0.540562005951,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,6.4,68.5252894576,-0.535495288379,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,2.8,53.600446882,-0.764628991069,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,0.4,34.587649807,-0.458146915435,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,6.3,68.2764574446,-0.123351440975,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,0.7,38.0357505586,-0.516791250826,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,5.7,66.3822872232,-1.29398327334,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,0.8,38.9599837497,-0.812553206511,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,25.0050782043,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,6.1,67.6924639447,-0.561115623733,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,240.9,99.0148283567,2.55106018833,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0,25.0050782043,-0.180318926688,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,25.0050782043,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,12.3,80.225472273,0.595583065539,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,4.3,60.8775137112,0.0139942269265,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,0.7,38.0357505586,-0.697108647564,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0.3,33.1352833638,-0.375745851707,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,104.7,97.6995734308,5.11333991236,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,35.5,92.9869997969,3.59110132254,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,0.1,28.8746699167,-0.748780196649,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,9,75.1421897217,-0.971200751583,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,0.9,39.9756246191,-0.318616591992,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,0,25.0050782043,-0.242379715836,ENSMUSG00000046613,84,0,NM_138345
