mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74644,28.6083040422,-0.583811215788,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,77.63,63.658831283,0.697577140349,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.71847,27.9108084359,-0.204258822116,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.7811950791,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.7811950791,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,97.15001,66.0259226714,-0.420106403688,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,159.83964,71.4850615114,-0.227659903284,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,85.97916,64.6583919156,-0.0355574390617,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,16.45268,50.2526362039,-0.121920384616,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,149.89107,70.6777240773,-0.409761990345,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.7811950791,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.63584,22.7811950791,-0.482098719806,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,22.7811950791,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,50.77929,59.644112478,-0.425640188983,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,49.43322,59.3420474517,0.562505002376,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,29.48977,55.0472319859,5.32439035675,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.64947,24.730887522,-0.151509923771,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1270.59255,92.4318980668,-0.166660306353,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,491.08609,84.1608084359,0.262768007546,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,635.43515,86.7256151142,-0.456091620985,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.7811950791,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,178.3872,72.6878295255,2.53697578359,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.73197,28.3007469244,-0.173880528961,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,222.47986,75.3734622144,0.240713199447,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.7811950791,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,614.21953,86.4290421793,0.388242780004,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.25871,34.8088752197,-0.408320503507,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1991.36694,94.908831283,0.369731148941,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,218.76088,75.1373022847,1.02645938301,ENSG00000072736,89,1
