mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1004.29272,90.3394112478,-0.835039031359,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.07396,29.8605008787,-0.563256564725,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4085.83589,96.7486818981,0.224049409919,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1142.87936,91.2291300527,-0.137790242603,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.65887,22.7207820738,-0.251189751691,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3580.92926,96.3587434095,0.132869390574,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,7941.27915,98.2590070299,1.04986777212,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,35.05228,54.9648506151,-0.531817048708,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,7.46759,39.3288664323,-0.135253913678,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,7.24022,38.8949912127,-0.330587594814,NA,NA,NA
ENSMUSG00000083012,Fam220a,46.86785,57.749340949,-0.313714346249,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,599.44015,86.0665641476,0.0906414461212,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.66307,23.0173550088,-0.108500804593,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,15.16553,47.171572935,-0.701170103688,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.64109,20.9358523726,-0.113087232629,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63934,20.6063268893,-0.107457046636,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,584.08958,85.8413884007,-0.0451101379124,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.74076,34.1992530756,-0.467263555167,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.2328646749,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.2328646749,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.2328646749,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,6.41336,36.8025043937,-0.106371861753,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,37.3187609842,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,425.33912,82.7932776801,-0.0920575595652,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,99.27526,65.8391915641,-0.902009634216,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.64585,21.6003954306,-0.109643484858,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.8901,28.0041739895,-0.110393393225,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.2328646749,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,306.05589,79.0037346221,-0.280920807912,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.2328646749,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.2328646749,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.2328646749,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,40.55125,56.3543497364,-0.314601451368,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,20.2328646749,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.2328646749,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.31184,47.242970123,-0.337966569808,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,13915.15376,99.0004393673,-0.540708547148,NA,NA,NA
ENSMUSG00000020758,Itgb4,211.63065,74.6430140598,2.11938774687,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.2328646749,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.2328646749,-0.147611978375,ENSG00000164916,89,0
