mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1035.68051,91.1412565905,-0.793802437974,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.43621,33.6225834798,-0.540522312321,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1846.59288,94.3541300527,-0.441624520798,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1240.04676,92.151801406,-0.0084328138524,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.4278,33.5786467487,1.23061613784,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2830.81547,96.0017574692,-0.315272062212,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,4814.92424,97.5065905097,0.230500219913,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,199.46613,75.5821616872,0.622089930185,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.5073,45.474516696,-0.1277673191,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,5.79471,35.5722759227,-0.340809120975,NA,NA,NA
ENSMUSG00000083012,Fam220a,707.78271,88.4940685413,1.45531546673,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,665.29287,87.9283831283,0.228650128704,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.913884007,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,34.43474,56.25,0.198986693444,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.913884007,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.913884007,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,379.65825,82.6944200351,-0.537922191754,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28656,32.7987697715,-0.470605471602,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.913884007,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.913884007,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,20.913884007,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.913884007,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.92038,36.1214850615,-0.658498478224,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,255.72075,78.4710017575,-0.508156096901,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,101.56887,67.4923110721,-0.885526068549,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.913884007,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,22.0123022847,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.913884007,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,268.84965,78.9927504394,-0.37664692825,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,20.913884007,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.913884007,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,16.0729,48.9894551845,0.32024420775,ENSG00000188393,33,0
