mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.77152,27.0375659051,-0.582237233593,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,48.48549,57.8207381371,-0.183986291714,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.66746,24.066344464,-0.206235216611,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.5074692443,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.5074692443,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,360.28082,81.0413005272,0.689286712213,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,14716.58023,99.1981546573,8.11414030865,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.5074692443,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,39.0377855888,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,2508.70524,95.4250878735,1.90148498787,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.5074692443,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.4782513181,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.75503,26.7355008787,-0.320610540737,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,217.55113,75.0659050967,0.0461201814411,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,34.62888,54.5584358524,0.217673739964,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.34917,32.8097539543,-0.469731852486,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.5074692443,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2057.29426,94.683655536,0.556851924776,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,1480.86766,93.1129173989,1.58971378559,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,1487.8049,93.1678383128,-0.241756766994,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.5074692443,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,65.45884,60.8963093146,-0.258657299786,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,4.77035,27.0155975395,-0.173828448013,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,159.46061,71.2214411248,-0.459532604329,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,20.5074692443,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,411.39758,82.4362917399,-0.286437760185,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.25112,32.2166080844,-0.415448982975,ENSG00000172789,100,0
