mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1567.48044,93.0909490334,-0.0951352977912,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,5.91323,38.4391476274,-0.510585271376,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3939.73758,96.9299209139,0.180617841369,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,836.37006,88.7686731107,-0.54584124465,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.4516695958,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2069.15024,94.5024165202,-0.770314706754,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,3971.4655,96.9518892794,0.00944319245588,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,129.04964,69.5957820738,0.127885340729,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.49775,48.2644991213,-0.127785017643,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.64177,22.9514499121,-0.348961818896,NA,NA,NA
ENSMUSG00000083012,Fam220a,2850.06488,95.8644551845,7.18942927763,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1062.36928,90.5920474517,1.06081001866,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.4516695958,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,26.92458,55.415202109,-0.151848736319,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.4516695958,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.4516695958,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,439.15662,82.9690246046,-0.394492542688,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,11.64645,48.401801406,-0.423810621497,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.4516695958,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.05276,32.4253075571,0.428552015107,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.4516695958,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.4516695958,-0.107349827257,NA,NA,NA
