mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2535.79586,97.1550966608,1.17701636512,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,38.40564,60.9402460457,1.52858836609,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3024.84788,97.6438927944,-0.0913572055782,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1072.66881,93.0085676626,-0.231260441654,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.836115993,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4312.67645,98.4786906854,0.570038061742,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1925.3064,96.0017574692,-0.526822337677,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,53.12832,63.3677504394,-0.40495383915,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,16.96118,54.1025922671,-0.117659913263,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70306,25.0659050967,-0.348528423528,NA,NA,NA
ENSMUSG00000083012,Fam220a,62.13124,64.6968365554,-0.272859776937,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,400.36081,84.1937609842,-0.326572564823,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.836115993,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,26.89991,57.9690246046,-0.153001189803,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.836115993,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,5.10494,31.8815905097,-0.107159298091,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,399.89377,84.1663005272,-0.489141468311,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,21.83459,56.3159050967,-0.348848242565,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,22.836115993,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.46263,35.3855448155,1.19279860258,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.82219,27.3231546573,0.0212877349355,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.836115993,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,9.35843,47.2484622144,0.32761514356,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,748.44949,90.2680140598,0.700579183465,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,441.95593,85.1823374341,1.56074529218,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.836115993,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.73253,37.1814586995,-0.109970028656,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.836115993,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,429.00741,84.841827768,0.0354151615179,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.836115993,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.93998,29.5035149385,-0.173606796012,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.836115993,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,5.94793,38.4885764499,-0.338363289146,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,22.836115993,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,22.836115993,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,21.69502,56.2390158172,0.138094197943,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,19087.03021,99.7748242531,0.146798395176,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,24.6100615114,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,22.836115993,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,22.836115993,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1004.28735,92.519771529,0.369743451535,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,22.836115993,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,147.4234,73.0228471002,0.291233400729,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,707.34416,89.8121704745,-0.807510443578,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,26.6201669596,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,22.57464,56.5905096661,-0.42291436492,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,679.9674,89.3837873462,1.99233064394,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,371.63238,83.3534710018,0.117145393033,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,73.83972,66.2071616872,0.190492917474,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.76544,26.1094024605,-0.130076140363,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,37307.94133,99.9670474517,-0.107670509025,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,26.2631810193,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,22.836115993,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,37.7581282953,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,640.9257,88.7961335677,0.362723730273,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,22.836115993,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,2239.48113,96.6937609842,1.38304611728,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,11.34052,49.9725395431,-0.367277953215,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,22.836115993,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,381.50086,83.6280755712,0.097996599104,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,160.52554,73.8960896309,-0.463114916197,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.31716,34.1223637961,-0.176999118812,NA,NA,NA
ENSMUSG00000021598,Med10,709.57381,89.8451230228,-0.737243254748,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,22.836115993,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.85263,27.9986818981,-0.136602838092,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,22.836115993,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,417.43183,84.6331282953,-0.0396127349266,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,289.44128,80.5525043937,-0.633934097384,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,60.37636,64.4332161687,-0.270785407216,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,2484.5077,97.0891915641,0.567954085219,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,5622.33094,98.8466608084,1.00177054401,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,22.836115993,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,70.28806,65.7293497364,1.19373653597,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.63584,22.836115993,-0.127576742456,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,66.34053,65.2130931459,-0.228392267771,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,1229.32626,93.9092706503,1.05984747523,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,6.56003,41.1137961336,-0.460522343202,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,6.34064,40.2680140598,-0.283684293809,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,6.15157,39.4332161687,-0.233018855917,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,5.64658,36.6102811951,-0.260822145988,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,4484.80851,98.5226274165,0.22319054042,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,7.07935,42.7724077329,0.873980919777,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,2205.9987,96.6168717047,0.376045668931,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,398.28135,84.1113796134,1.26084420231,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,4.99805,30.3822495606,-0.287279364286,ENSG00000118432,97,1
