mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.95627,29.5309753954,-0.57064260797,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,99.7615,66.8222759227,1.36701097529,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,21.0786467487,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.0786467487,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.0786467487,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,160.61198,71.7816344464,-0.152542629459,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,852.71598,88.7357205624,0.169395740053,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,21.0786467487,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,22.81618,54.6682776801,0.0738591105814,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,357.29005,80.5415202109,-0.206545360605,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.0786467487,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,5.14665,31.8980667838,-0.0226532369263,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,21.0786467487,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,73.08098,63.9224516696,-0.362553677882,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.83853,51.0380052724,-0.24329455542,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.93226,29.1355448155,-0.569796784189,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.93938,29.2344024605,-0.148273173361,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2462.79792,95.2273725835,0.929784707365,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,5.88283,37.4176186292,-0.387717348884,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2810.175,95.8205184534,0.0907632482974,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,21.0786467487,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,68.53529,63.3677504394,-0.182497286488,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,100.69061,66.954086116,-0.0436664366046,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,167.88748,72.2484622144,-0.365896447814,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,21.0786467487,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,561.23359,85.138400703,0.211986794783,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.3090949033,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,3179.3535,96.2928383128,1.34028774747,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,161.92569,71.8640158172,0.501584406119,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,195.94977,73.9784710018,1.92337023533,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,121.5223,68.821397188,-0.223654398979,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.67417,36.1928822496,-0.123348646022,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,218.0452,75.098857645,0.00302927065936,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,21.0786467487,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,21.0786467487,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,12.21991,49.3189806678,0.510506564251,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,21.0786467487,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.12663,31.716827768,-0.441252050487,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,194.69243,73.868629174,-0.86598822467,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,21.0786467487,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,5.42166,34.3145869947,0.263121376172,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,22.9239894552,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,5.70068,36.341168717,-0.547264421311,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,45.36363,59.8747803163,0.0694644471417,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,864.03271,88.8949912127,1.13562732032,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,3284.90224,96.4246485062,-0.0255736340184,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.17596,32.1726713533,-0.267781578555,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,21.0786467487,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,73.40485,63.9554042179,0.242355251918,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,141.42845,70.4690246046,0.0557847004935,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,49.80817,60.6491652021,-0.660284809395,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.73109,24.8132688928,-0.107907206239,NA,NA,NA
ENSMUSG00000035041,Creb3l3,24.21401,55.0801845343,-0.12205904567,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,270.60778,77.4494727592,-0.544588076301,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.5487697715,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,138.68263,70.2603251318,-0.0655900557254,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.82762,37.1100615114,-0.22768192982,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,21.0786467487,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,55.31714,61.5608523726,2.27073185529,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,347.7931,80.2669156415,2.22157349119,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,109.07828,67.7065026362,-0.229467248666,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,21.0786467487,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.63584,21.0786467487,-0.437355708129,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,236.00836,75.961115993,1.00184678347,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,44.76871,59.7539543058,5.90452892662,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,129.06801,69.4694639719,-0.56118267882,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,13.51226,50.3185413005,0.714993295869,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,21.8695079086,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,24.3629173989,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,293.88296,78.4105887522,5.2856125655,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,20.73232,53.8005272408,-0.467623088757,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,206.25539,74.4452987698,-0.111881219638,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,5.11179,31.5410808436,0.853635861511,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,24.93516,55.3108523726,0.061457832372,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.27383,33.1392794376,-0.277483361682,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,1772.69552,93.6676186292,1.77514979099,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,416.70838,82.2221001757,0.122201694097,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,203.56128,74.264059754,0.390842086059,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,72.07825,63.8235940246,-0.273566000632,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,205.914,74.4178383128,0.151341265339,NA,NA,NA
ENSMUSG00000078861,Zfp931,572.96926,85.3416080844,0.113924793149,NA,NA,NA
ENSMUSG00000032897,Nfyc,276.80668,77.72956942,-1.71115573271,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.87843,28.1469683656,-0.0168180717645,NA,NA,NA
ENSMUSG00000039841,Zfp800,337.9928,79.9428822496,0.816761448111,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,21.0786467487,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,110.6895,67.8767574692,0.760425473012,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,677.20902,86.7750439367,2.10263008287,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,4.63584,21.0786467487,-0.464041160059,NA,NA,NA
ENSMUSG00000078768,Zfp566,29.28155,56.4696836555,-0.378182199767,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,21.0786467487,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,84.89623,65.2130931459,-0.525454355272,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,4.63584,21.0786467487,-0.300972119109,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.63584,21.0786467487,-0.254746467044,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,4.65873,22.144112478,-0.445475073286,ENSG00000147180,95,0
ENSMUSG00000037868,Egr2,58.9414,62.1100615114,-0.431459197335,ENSG00000122877,89,0
ENSMUSG00000079560,Hoxa3,4.63584,21.0786467487,-0.373698409377,ENSG00000105997,94,0
ENSMUSG00000002578,Ikzf4,4.66524,22.3802724077,-0.127430177285,ENSG00000123411,97,0
ENSMUSG00000039476,Prrx2,4.88886,28.3721441125,-0.274193464403,ENSG00000167157,90,0
ENSMUSG00000017801,Mlx,343.52918,80.1351054482,0.573778447809,ENSG00000108788,95,0
ENSMUSG00000038346,Zfp384,142.17991,70.5074692443,-1.62989643637,ENSG00000126746,97,0
ENSMUSG00000042109,Csdc2,74.72526,64.0762302285,-0.0665737648959,ENSG00000172346,97,0
ENSMUSG00000038342,Mlxip,151.69411,71.2049648506,-0.667936660903,ENSG00000175727,87,1
ENSMUSG00000039219,Arid4b,55.29935,61.5553602812,-0.0506029868334,ENSG00000054267,90,1
ENSMUSG00000035187,Nkx6-1,4.63584,21.0786467487,-0.111057307378,ENSG00000163623,96,0
ENSMUSG00000014303,Glis2,13.80062,50.4778119508,-0.110595603668,ENSG00000126603,93,0
ENSMUSG00000048280,Zfp65 /// Zfp738,354.29478,80.4316783831,0.058831875492,ENSG00000196350,35,0
ENSMUSG00000011349,Dmrtc2,4.70736,24.038884007,-0.108860660213,NA,NA,NA
ENSMUSG00000054191,Klf1,4.63584,21.0786467487,-0.174071235102,ENSG00000105610,71,1
ENSMUSG00000058402,Zfp420,4.63584,21.0786467487,-0.315764932147,ENSG00000197050,51,0
ENSMUSG00000045991,Onecut2,78.27501,64.4551845343,0.750532552319,ENSG00000119547,99,1
ENSMUSG00000029705,Cux1,156.61889,71.5289982425,-0.836536805356,ENSG00000257923,88,0
ENSMUSG00000029706,Pax4,5.4377,34.4518892794,-0.0629258362606,ENSG00000106331,75,0
ENSMUSG00000029313,Aff1,7.52006,43.1898066784,-0.19110939159,ENSG00000172493,67,1
ENSMUSG00000028799,Zfp362,644.39927,86.3466608084,1.94282352757,ENSG00000160094,98,1
ENSMUSG00000027102,Hoxd8,5.26106,33.0294376098,-0.398451963449,ENSG00000175879,89,0
ENSMUSG00000060397,Zfp128,11.85783,48.9290421793,-0.564719761209,ENSG00000278129,73,1
ENSMUSG00000024619,Cdx1,4.63584,21.0786467487,-0.154088740124,ENSG00000113722,85,1
ENSMUSG00000003198,Zfp959,58.1532,61.9947275923,-0.752218485261,NA,NA,NA
ENSMUSG00000054519,Zfp867,45.80525,59.9461775044,4.80810924577,NA,NA,NA
ENSMUSG00000028890,Mtf1,4.63584,21.0786467487,-0.246716419246,ENSG00000188786,83,0
ENSMUSG00000074165,Zfp788,4.64051,21.4356326889,-0.466670685277,NA,NA,NA
ENSMUSG00000046897,Zfp740,477.63485,83.5731546573,0.547951833249,ENSG00000139651,79,0
ENSMUSG00000079808,C130026I21Rik /// LOC102638047,4.63584,21.0786467487,-0.161432740477,ENSG00000280755,36,0
ENSMUSG00000000782,Tcf7,4.77069,25.8293057996,-0.230481459033,ENSG00000081059,67,1
ENSMUSG00000005373,Mlxipl,4.63584,21.0786467487,-0.282851229357,ENSG00000009950,82,1
ENSMUSG00000049755,Zfp672,195.32695,73.9235500879,0.587763319327,ENSG00000171161,78,1
ENSMUSG00000003282,Plag1,4.63584,21.0786467487,-0.229458609048,ENSG00000181690,95,1
ENSMUSG00000012350,Ehf,4.63584,21.0786467487,-0.305159881218,ENSG00000135373,87,1
ENSMUSG00000074637,Sox2,4.63584,21.0786467487,-0.323127312681,ENSG00000181449,98,0
ENSMUSG00000038227,Hoxa9,6.07099,38.4501318102,-0.299394345385,ENSG00000078399,98,1
ENSMUSG00000017667,Zfp334,109.10837,67.7119947276,2.71602932393,ENSG00000198185,70,1
ENSMUSG00000063108,Zfp26,206.53356,74.4672671353,-0.835095147873,NA,NA,NA
ENSMUSG00000047473,Zfp30,6.38105,39.7572495606,-0.518347439128,ENSG00000120784,85,1
ENSMUSG00000060630,Zfp735,4.63584,21.0786467487,-0.409265154172,NA,NA,NA
ENSMUSG00000070034,Sp110,4.78366,26.158831283,-0.303992158998,ENSG00000280755,36,0
ENSMUSG00000000247,Lhx2,14.5287,50.8512741652,-0.335632173952,ENSG00000106689,99,0
ENSMUSG00000002111,Spi1,7.51137,43.1403778559,-0.322939426853,ENSG00000066336,88,1
ENSMUSG00000002057,Foxn1,4.79728,26.4554042179,0.146642000624,ENSG00000109101,86,1
