mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.70583,38.631370826,-0.460842915391,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,60.1172,61.8684094903,0.167849789536,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,20.9907732865,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.9907732865,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.9907732865,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,193.09063,74.0224077329,-0.0156084911736,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,492.22871,84.5232864675,-0.0371829762945,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.9907732865,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,8.2408,41.9376098418,-0.374567154636,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,196.95306,74.2146309315,-0.363649039372,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,6.47462,37.8624780316,1.91707422628,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.92763,28.6302724077,-0.219649673293,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,20.9907732865,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,7.17565,39.8011862917,-0.548985169516,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.20735,48.3249121265,-0.257996365579,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.73203,34.8967486819,-0.377839454243,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,20.9907732865,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,629.00559,86.7970123023,-0.75671369888,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,48.38037,59.7210017575,-0.330743231574,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,777.44239,88.532513181,-0.420382820841,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.8073,26.7464850615,0.358022081957,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,104.50309,67.3440246046,0.707914755414,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,10.95914,45.3591827768,-0.16543037492,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,329.99223,80.2394551845,1.43534953591,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,6.01317,36.1105008787,0.0473709379978,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,1026.88572,90.7458260105,1.76096327691,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,32.9690246046,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,597.82427,86.3027240773,-0.768759873799,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,70.67477,63.3567662566,-0.34112104673,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,83.87337,65.1801405975,0.0528293392023,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,84.09062,65.2021089631,-0.538717754025,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,64.13703,62.4176186292,7.6725033929,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,40.16202,57.9415641476,-0.745590913266,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,20.9907732865,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.68087,23.5061511424,-0.358928116104,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.9907732865,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.9907732865,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,5.39487,32.8372144112,-0.439257939759,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,6443.11072,98.0777680141,-0.153236047026,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.9907732865,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,23.8082161687,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,23.2699912127,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,25.47945,53.8170035149,-0.339436182708,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,33.27706,56.2609841828,-0.398987478446,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,5.07553,30.3328207381,-0.176800982082,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1108.82577,91.3060193322,-0.935145934389,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.03526,29.849516696,-0.284477811036,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,5.33882,32.3594024605,-0.115726421025,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,34.17652,56.4641915641,-0.693936847778,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.89231,28.053602812,-0.384246801481,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,43.32598,58.6061072056,-0.712734247142,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.9907732865,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,70.5269,63.3183216169,-0.0341506565547,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,66.27394,62.7032073814,-0.617599299699,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.92461,28.5753514938,-0.231176541312,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,199.28159,74.3903778559,0.0172135532087,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.62321,38.362258348,-0.13868755989,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,20.9907732865,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.9907732865,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,79.13863,64.5430579965,-0.545567137393,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,47.58271,59.5397627417,-0.753328443969,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.66148,22.4571616872,-0.268366936087,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,22.1935413005,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,117.73195,68.5248242531,-0.693601390822,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.9907732865,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,57.55042,61.3905975395,-1.0422524177,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,11.48238,45.9523286467,0.44903416893,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,10.15295,44.4804481547,0.185805587939,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,24.6704745167,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,26.83546,54.2289103691,-0.11900919304,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,13.70634,47.9020210896,-0.843589957846,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,106.48713,67.519771529,-0.685795583227,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,20.9907732865,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,20.48009,51.8508347979,-0.152278069775,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,24.52704,53.3996045694,-0.212843369236,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,396.99352,82.2330843585,-0.47482614833,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,27.34415,54.4595782074,-0.411486026644,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,107.87245,67.6680579965,-0.410684632439,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,95.32858,66.4982425308,-0.172433404258,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,39.50241,57.7658172232,-0.72556515047,NA,NA,NA
ENSMUSG00000078861,Zfp931,282.36029,78.4380492091,-0.420399895645,NA,NA,NA
ENSMUSG00000032897,Nfyc,418.43566,82.7877855888,-1.31092024612,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.63584,20.9907732865,-0.577470888189,NA,NA,NA
ENSMUSG00000039841,Zfp800,171.19727,72.6933216169,-0.201407414813,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,20.9907732865,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,107.96265,67.6790421793,0.705746051185,ENSG00000163795,95,0
