ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.3,57.3583180987,0.165601979809,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,3,47.0800325005,-0.308059630021,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,0,19.1854560228,-0.312052006814,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,2.2,42.783871623,1.48323969742,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,16.5,82.2567540118,0.229623998197,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0,19.1854560228,-0.387657443029,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,19.1854560228,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,12.7,77.1125330083,-0.0420418160087,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,8.2,67.3979280926,-0.421295386759,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,0.1,22.8316067439,-0.317004397552,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,33.5,91.8951858623,0.622630478937,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,6.4,61.6747917936,-0.719688956136,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.1854560228,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.9,63.3455210238,-0.0615124685229,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,19.1854560228,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,5.6,58.6126345724,1.31036996594,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,12,75.8429819216,-0.251994806761,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,19.8,85.2732073939,0.64129517474,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,10.9,73.9031078611,0.0370721321199,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,1,34.6333536462,-0.415321469738,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,19.1854560228,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.7,31.9723745684,-0.264866774547,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,19.1854560228,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,0.4,28.498882795,-0.384634222897,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,9,69.4495226488,-0.113351609222,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,18.5,84.1560024375,0.608489507098,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,4.9,55.6571196425,5.50772192456,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,10.5,73.1769246394,0.0462888623993,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,1.3,36.9540930327,-0.309992466357,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,19.1854560228,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,12.3,76.3914279911,0.874037081377,NA,NA,NA,NA
ENSG00000169740,ZNF32,13.2,77.9047328865,-0.730335697311,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,1.1,35.3595368678,-0.0616760039748,ENSMUSG00000052557,98,0,NM_022041
