mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1233.23431,91.8607205624,-0.534260567635,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.16354,35.7260544815,-0.494876201068,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,12939.35324,98.9070738137,2.85599050284,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1747.2455,93.8323813708,0.666792877811,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,18.3655536028,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1469.67323,92.9701230228,-1.12846103302,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2391.52058,95.1889279438,-0.404635067687,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,52.41565,62.10456942,-0.409955576453,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.97442,47.2594463972,-0.126901628727,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68382,20.0021968366,-0.348664473893,NA,NA,NA
ENSMUSG00000083012,Fam220a,421.38334,83.5456942004,0.688728036774,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,250.58659,78.3886203866,-0.640456984283,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,18.3655536028,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,26.64019,55.7996485062,-0.165133950998,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.03138,27.5702987698,-0.110426300001,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,18.3655536028,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1790.27177,93.9641915641,2.8625710006,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,10.35701,45.4250878735,-0.433298073563,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,5.03027,27.5538224956,-0.11570646821,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,18.3655536028,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,18.3655536028,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,18.3655536028,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,37.4780316344,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,305.91853,80.2943760984,-0.385013639893,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,166.36663,73.8631370826,-0.419841783937,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,18.3655536028,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.76728,22.9679261863,-0.110455116616,NA,NA,NA
ENSMUSG00000035420,Fam170a,5.31526,30.6403778559,-0.0994511223333,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,102.48388,68.7170474517,-0.804681304182,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,18.3655536028,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,18.3655536028,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.71163,21.2653778559,-0.13600283938,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,69.61532,64.9329964851,-0.294643374614,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.18175,29.3277680141,-0.0839717124785,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,9103.93985,98.4182776801,8.97795262862,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,49.6869507909,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,9622.22115,98.5116432337,-1.11137588633,NA,NA,NA
ENSMUSG00000020758,Itgb4,10.03481,45.0461335677,-0.324622590513,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,18.3655536028,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.69575,20.6008347979,-0.142413202271,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,487.70801,84.8637961336,-0.69985248257,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,18.3655536028,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,60.37233,63.4940685413,-1.12589735287,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,12582.3815,98.8796133568,0.547065759688,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,25.39774,55.316344464,-0.128959329126,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,23.63131,54.6353251318,-0.410223006088,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,112.20689,69.7275922671,-1.0377522494,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,70.71837,65.0757908612,-1.26502927527,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,9.10928,43.7005711775,-0.493626500503,ENSG00000092929,88,1
