mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1022.37373,91.1083040422,-0.811284595084,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74644,28.6083040422,-0.583811215788,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,4111.66476,97.3637961336,0.231727721448,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,810.74691,89.2190246046,-0.579952940553,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,22.7811950791,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2469.59729,95.7601054482,-0.531075107185,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,5084.49426,97.8141476274,0.301150204894,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,96.39165,65.8776362039,-0.101318479859,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,19.28424,51.6091827768,-0.113354701156,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,8.41667,43.8873022847,-0.322268652397,NA,NA,NA
ENSMUSG00000083012,Fam220a,38.14513,57.211115993,-0.337061909852,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,686.33807,87.6043497364,0.272754917795,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,22.7811950791,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.38212,48.500659051,-0.784481699419,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,22.7811950791,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,22.7811950791,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,530.40007,84.9242091388,-0.174536668048,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,174.19469,72.4516695958,0.772188134076,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63834,23.2644991213,-0.116200577937,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.69055,26.9551845343,-0.246827389213,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,22.7811950791,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,22.7811950791,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.56463,40.4931898067,-0.473712421932,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,798.43195,89.0652460457,0.823193429189,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,229.51205,75.7304481547,0.0339675721161,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,22.7811950791,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.63584,22.7811950791,-0.110521172002,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,22.7811950791,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,875.80364,89.8780755712,1.18495539132,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,22.7811950791,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.88085,30.9699033392,-0.174371116253,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,22.7811950791,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,230.28579,75.7743848858,-0.184312179694,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,22.7811950791,-0.159529220269,ENSG00000160868,71,1
