mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.85769,30.2614235501,-0.57682933703,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,45.79664,59.2596660808,-0.2653186536,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,25.9391476274,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,25.9391476274,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,25.9391476274,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,415.13349,82.2330843585,0.920552577609,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,11.41995,47.709797891,-0.312712418567,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,25.9391476274,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,70.09533,63.0711775044,1.52844984216,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,575.43595,85.5777680141,0.00720146972941,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,25.9391476274,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,12.66723,48.7148506151,6.74169458249,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,25.9391476274,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,8.73369,44.5518453427,-0.544577821563,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,11.60757,47.8471001757,-0.318551947213,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.68679,40.3888400703,-0.148682096079,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,25.9391476274,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1630.80029,93.3106326889,0.164614816511,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,23.44351,54.184973638,-0.36417470989,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3126.37141,96.0676625659,0.170273239554,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,25.9391476274,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,56.94318,61.1818980668,-0.469469365265,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,22.18032,53.6961775044,-0.150203442058,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,215.5806,74.5661247803,0.164051261005,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,5.85998,37.3352372583,0.0191133754582,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,151.38205,70.7216608084,-1.15137086155,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,10.26442,46.4521089631,4.29301032066,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,2372.31916,95.0351493849,0.680959998907,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,80.46958,64.4002636204,-0.25066563218,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,108.08054,67.1572934974,0.45684393518,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,297.60553,78.3721441125,1.25844240274,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,32.4033391916,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,47.03519,59.5013181019,-0.71666522288,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,25.9391476274,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,25.9391476274,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,25.9391476274,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,25.9391476274,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,266.5303,77.0760105448,1.50203702994,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,2268.63701,94.8264499121,-0.629414991717,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,25.9391476274,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,27.8503954306,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,27.6471880492,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,79.49808,64.2739455185,0.22817225425,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,58.88756,61.5004393673,0.593625648377,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.74891,28.9982425308,-0.177300035285,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,2689.25696,95.4855008787,-0.274545788721,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,30.5744727592,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,25.9391476274,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,71.50267,63.2853690685,0.196954489097,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,5.16296,32.8921353251,-0.383374545051,ENSG00000118513,76,1
