mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1655.85677,95.3866432337,0.0209715955303,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,19.52394,57.1946397188,0.343601937858,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1534.02457,94.9857205624,-0.534543679016,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,611.97895,88.6533391916,-0.844569594119,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.5454745167,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4033.465,98.2425307557,0.403228403653,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1227.99657,93.7939367311,-0.709576076451,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,73.69299,67.3714850615,-0.260624658661,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,56.2398,65.2185852373,-0.0448667911044,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,23.3139279438,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,80.52359,68.1678383128,-0.223630114465,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,109.31498,70.9358523726,-0.936522337125,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.5454745167,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,23.63023,58.6829964851,-0.305743553213,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.5454745167,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.5454745167,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,295.19061,81.1566344464,-0.741543971016,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,456.90954,86.0171353251,2.85234974507,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.5454745167,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.5454745167,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.5454745167,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.5454745167,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.94038,47.9404657293,0.207708568732,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,599.14366,88.4940685413,0.334310261776,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,554.14053,87.8075571178,2.36698620538,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.5454745167,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,5.53245,34.7923989455,-0.110070579186,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.5454745167,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,790.00462,90.9600175747,0.964207277199,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.5454745167,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.5454745167,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,5.35319,33.0953427065,-0.110239007031,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,7.44045,44.4694639719,-0.337338386965,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.5454745167,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.5454745167,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,18.68412,56.7497803163,-0.0864602350546,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,26074.10408,99.8572056239,1.07560283175,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.68508,23.1217047452,-0.389479064844,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.5454745167,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.5454745167,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1005.84757,92.6405975395,0.37297394265,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.5454745167,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,105.70869,70.5898506151,-0.387853007037,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,117.42775,71.5894112478,-0.874801746167,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,5.37782,33.3974077329,-0.133128374887,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,23.6411,58.6994727592,-0.410105421219,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,308.78086,81.7278119508,0.0113440038275,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,366.05194,83.639059754,0.0915130111908,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,172.42929,75.2581282953,1.23246079606,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.5454745167,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,48702.64221,99.9780316344,0.780766868465,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,6.21054,39.4716608084,-0.315622323763,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.5454745167,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,36.9837434095,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,990.45097,92.5417398946,1.37698270207,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.5454745167,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,920.65214,92.0749121265,0.258145244482,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,3486.64016,97.9679261863,3.76850036125,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.5454745167,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,339.54651,82.7932776801,0.068059000469,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,210.27414,77.4220123023,-0.394147035235,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.13053,30.514059754,-0.179377601681,NA,NA,NA
ENSMUSG00000021598,Med10,1383.88417,94.4969244288,0.115391682001,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,21.5454745167,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,4.85263,26.1423550088,-0.136602838092,NA,NA,NA
ENSMUSG00000019913,Sim1,5.05108,29.4870386643,-0.146836073415,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,549.68757,87.7581282953,0.318169519659,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,159.80753,74.4782513181,-0.973050140719,ENSG00000215712,86,0
