mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,3158.0564,96.9189367311,1.99452868019,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,7.01782,39.7956942004,-0.441262903223,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,5958.05201,98.204086116,0.780614935941,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1071.9356,92.1463093146,-0.232236552575,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,19.6726713533,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1249.52875,93.0470123023,-1.25998223475,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,804.01051,90.3888400703,-0.820696032487,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,17.53773,51.3071177504,-0.654739548711,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.4501,33.3644551845,-0.13899282803,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.68685,23.6928822496,-0.348643048082,NA,NA,NA
ENSMUSG00000083012,Fam220a,58.92475,63.3293057996,-0.28144238984,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,57.8742,63.1206063269,-1.04432766816,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.74024,25.4448594025,-0.108179733331,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.43692,48.6214850615,-0.781921729785,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,19.6726713533,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,19.6726713533,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,469.51255,85.6546572935,-0.321315069306,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.3043,32.3923550088,-0.470474944087,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,19.6726713533,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,19.6726713533,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,19.6726713533,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,19.6726713533,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,20.5778,52.8503954306,3.54559440065,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,167.76582,74.7363796134,-0.72392233569,ENSG00000117133,95,1
