mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2914.27065,96.111599297,1.67424828307,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.97307,29.7067223199,-0.56958826583,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3200.03651,96.3862038664,-0.0392777736325,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,542.15785,86.1489455185,-0.93752132452,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,20.2877855888,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,1162.42956,91.9101493849,-1.3120180166,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1553.26383,93.5138400703,-0.624328736878,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,43.98153,59.2871265378,-0.469148825251,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,8.82015,42.7724077329,-0.132747281182,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.64717,22.709797891,-0.348923634282,NA,NA,NA
ENSMUSG00000083012,Fam220a,42.04734,58.8587434095,-0.326617106377,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,104.47625,68.3600615114,-0.946662947151,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.64971,22.9404657293,-0.108556389821,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,6.4906,37.9173989455,-1.10641750118,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.2877855888,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,20.2877855888,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,368.50499,82.2660369069,-0.56480877987,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.01244,36.3741212654,-0.465264585864,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.2877855888,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,20.2877855888,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.64909,22.8525922671,-0.32765802874,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,20.2877855888,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.79727,38.8181019332,-0.406985796964,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,192.26496,74.9231107206,-0.663822381186,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,115.43709,69.4914323374,-0.78585885614,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,20.2877855888,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,7.7871,41.1577328647,-0.108937501156,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,20.2877855888,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,100.52611,67.8767574692,-0.809718355134,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,134.38125,71.0896309315,1.85994442554,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,20.2877855888,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,20.2877855888,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,4034.82624,97.1770650264,2.42823693384,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.02169,30.3053602812,-0.106125061377,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,20.2877855888,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,13.59694,48.0118629174,-0.465864672417,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,13222.79168,99.2750439367,-0.632745497605,NA,NA,NA
ENSMUSG00000020758,Itgb4,12.96301,47.4351933216,-0.289123092756,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,20.2877855888,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,20.2877855888,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,366.66359,82.2001318102,-0.950479268144,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,20.2877855888,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,159.25091,72.9514499121,0.483777020922,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,22514.85978,99.6539982425,1.6800557733,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,26.8222,54.7286906854,-0.128662692629,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,24.69824,53.8664323374,-0.397408417352,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,244.81145,77.8174428822,-0.330054546308,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,1185.7211,92.0913884007,3.85646217171,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,4.63584,20.2877855888,-0.540905140493,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,20.2877855888,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,25098.58025,99.7089191564,-1.05962640967,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,26.8728031634,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,12.77852,47.2923989455,1.60157552639,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,26.16368,54.4925307557,0.37658966032,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,420.03117,83.5566783831,-0.278272152149,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.65702,23.4182776801,-0.157448012165,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,101.91199,68.0360281195,-0.440202696239,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,20.2877855888,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.6563,23.374340949,-0.17914728284,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,4.83347,27.828427065,-0.170784043207,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,364.28096,82.1177504394,-0.180643056651,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.02447,30.3438049209,-0.180729270187,NA,NA,NA
ENSMUSG00000021598,Med10,890.10259,90.1966168717,-0.508972781614,ENSG00000133398,99,0
