ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000124209,RAB22A,5.2,53.3262238472,0.111527863953,ENSMUSG00000027519,97,0,NM_020673
ENSG00000064703,DDX20,4.7,51.4117408085,-0.137055100703,ENSMUSG00000027905,83,0,NM_007204
ENSG00000230873,STMND1,2.9,43.5608368881,0.470608161627,ENSMUSG00000063529,67,1,NM_001190766
ENSG00000124208,TMEM189-UBE2V1,1,33.2013000203,0.0449466574975,ENSMUSG00000090213,60,0,NM_199203
ENSG00000164938,TP53INP1,18.6,81.6575258988,0.477706517149,ENSMUSG00000028211,87,0,NM_033285
ENSG00000243772,KIR2DL3,0.6,29.9106236035,1.67984891979,ENSMUSG00000057439,33,0,NM_015868
ENSG00000160161,CILP2,0,19.2463944749,-0.399178396801,ENSMUSG00000044006,79,0,NM_153221
ENSG00000110514,MADD,13,74.1062360349,-0.000433420783595,ENSMUSG00000040687,94,0,NM_130476
ENSG00000111358,GTF2H3,8.6,64.5185862279,-0.305325903952,ENSMUSG00000029387,94,0,NM_001271868
ENSG00000174776,WDR49,1.9,38.5486491976,0.483848817316,ENSMUSG00000104301,76,0,NM_178824
ENSG00000076864,RAP1GAP,13.5,75.0050782043,-0.112578942686,ENSMUSG00000041351,88,1,NM_001145658
ENSG00000086015,MAST2,7.6,61.6087751371,-0.598954766903,ENSMUSG00000003810,88,1,NM_015112
ENSG00000248920,USP17L19,0,19.2463944749,nan,ENSMUSG00000057321,43,1,NM_001256860
ENSG00000115808,STRN,6.6,58.3536461507,-0.166962414562,ENSMUSG00000024077,97,0,NM_003162
ENSG00000112499,SLC22A2,0,19.2463944749,-0.181417396347,ENSMUSG00000040966,83,1,NM_003058
ENSG00000168032,ENTPD3,3.2,44.9471866748,0.328551298778,ENSMUSG00000041608,81,1,NM_001291961
ENSG00000167747,C19orf48,7.5,61.3954905545,-0.688139664617,NA,NA,NA,NM_199249
ENSG00000167741,GGT6,3.9,48.126142596,-0.490480700764,ENSMUSG00000040471,70,0,NM_001288703
ENSG00000167740,CYB5D2,9,65.6408693886,-0.284925815435,ENSMUSG00000057778,80,1,NM_144611
ENSG00000168038,ULK4,2.5,41.5193987406,0.00793607903957,ENSMUSG00000040936,83,0,NM_017886
ENSG00000167749,KLK4,0,19.2463944749,-0.187935775229,ENSMUSG00000006948,69,1,NM_004917
ENSG00000167748,KLK1,0.1,22.3898029657,-0.265861540415,ENSMUSG00000066515,63,0,NM_002257
ENSG00000141946,ZIM3,0,19.2463944749,-0.179605302027,NA,NA,NA,NM_052882
ENSG00000148053,NTRK2,9.7,67.3319114361,-0.172893296641,ENSMUSG00000055254,92,0,NM_001291937
ENSG00000124201,ZNFX1,15.5,77.8285598212,1.77281916823,ENSMUSG00000039501,88,0,NM_021035
ENSG00000108784,NAGLU,16.9,79.6364005688,0.345580960571,ENSMUSG00000001751,82,0,NM_000263
ENSG00000146399,TAAR1,0,19.2463944749,-0.21155488187,ENSMUSG00000056379,74,1,NM_138327
ENSG00000213995,CARKD,9.8,67.5959780622,-0.132481916522,ENSMUSG00000031505,63,0,NM_001242883
ENSG00000087494,PTHLH,1,33.2013000203,-0.409855811224,ENSMUSG00000048776,86,0,NM_002820
ENSG00000075388,FGF4,0,19.2463944749,-0.179605302027,ENSMUSG00000050917,80,0,NM_002007
ENSG00000219545,UMAD1,8.2,63.3252082064,-0.156274374837,NA,NA,NA,NA
ENSG00000169740,ZNF32,16.4,78.9711557993,-0.347404947671,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000261609,GAN,0.6,29.9106236035,-0.223449129154,ENSMUSG00000052557,98,0,NM_022041
ENSG00000169744,LDB2,58.6,95.0741417835,1.40795459184,ENSMUSG00000039706,98,0,NM_001304435
ENSG00000124205,EDN3,0.4,27.5898842169,-0.572885286828,ENSMUSG00000027524,50,0,NM_207033
ENSG00000215644,GCGR,0,19.2463944749,-0.287732377787,ENSMUSG00000025127,82,1,NM_000160
ENSG00000130764,LRRC47,8.4,63.9092017063,-0.03558557524,ENSMUSG00000029028,87,1,NM_020710
ENSG00000177565,TBL1XR1,12.6,73.4257566524,-0.269283524632,ENSMUSG00000027630,99,0,NM_024665
ENSG00000168298,HIST1H1E,0,19.2463944749,-0.290539218915,ENSMUSG00000051627,94,1,NM_005321
ENSG00000059804,SLC2A3,24.5,86.5732277067,-0.080182826308,ENSMUSG00000003153,82,1,NM_006931
ENSG00000153714,LURAP1L,15,77.2801137518,1.75281557972,ENSMUSG00000048706,88,0,NM_203403
ENSG00000251692,PTX4,0,19.2463944749,-0.295598783449,ENSMUSG00000044172,61,1,NM_001013658
ENSG00000168291,PDHB,31.4,89.681088767,-0.568449094357,ENSMUSG00000021748,94,1,NM_001173468
ENSG00000120907,ADRA1A,2.2,40.1178143408,0.0389924453938,ENSMUSG00000045875,84,0,NM_000680
ENSG00000105879,CBLL1,9.3,66.3975218363,-0.149968617884,ENSMUSG00000020659,96,1,NM_001284291
ENSG00000120903,CHRNA2,0.3,26.0359536868,-0.119157900873,ENSMUSG00000022041,82,0,NM_000742
ENSG00000175701,LINC00116,13.4,74.8476538696,-0.210205480217,ENSMUSG00000051319,38,1,NA
ENSG00000277058,HNRNPCL3,0,19.2463944749,nan,ENSMUSG00000060373,84,0,NM_001146181
ENSG00000105877,DNAH11,0.9,32.4243347552,0.630351801091,ENSMUSG00000018581,84,1,NM_001277115
ENSG00000105875,WDR91,6.3,57.3380052813,1.39295524392,ENSMUSG00000058486,92,1,NM_014149
ENSG00000135074,ADAM19,3.6,46.8210440788,-0.367770722586,ENSMUSG00000011256,84,0,NM_033274
ENSG00000135077,HAVCR2,10.2,68.5963843185,1.12021697401,ENSMUSG00000020399,61,1,NM_032782
ENSG00000131023,LATS1,7.5,61.3954905545,0.253081388126,ENSMUSG00000040021,93,0,NM_001270519
ENSG00000057294,PKP2,0.9,32.4243347552,-0.601476033632,ENSMUSG00000041957,74,1,NM_004572
ENSG00000254415,SIGLEC14,4.4,50.2082063782,0.245623081098,NA,NA,NA,NM_001098612
ENSG00000131759,RARA,35.9,91.1791590494,2.17046335805,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000142279,WTIP,10.9,70.2061750965,0.967874321569,ENSMUSG00000036459,83,1,NM_001080436
ENSG00000146083,RNF44,12.3,72.9128580134,0.114663448344,ENSMUSG00000034928,84,0,NM_014901
ENSG00000136250,AOAH,8.6,64.5185862279,-0.0506563693511,ENSMUSG00000021322,61,1,NM_001177507
ENSG00000149792,MRPL49,25.5,87.0962827544,0.0408585587558,ENSMUSG00000007338,83,1,NM_004927
ENSG00000149021,SCGB1A1,3417.9,99.9492179565,5.53402188661,ENSMUSG00000024653,55,1,NM_003357
ENSG00000146085,MUT,10.7,69.7034328661,-0.462124621114,ENSMUSG00000023921,95,1,NM_000255
ENSG00000132591,ERAL1,14.2,76.0511882998,-0.340402368217,ENSMUSG00000020832,78,1,NM_005702
ENSG00000102471,NDFIP2,17,79.7531992687,-0.36404413528,ENSMUSG00000053253,81,0,NM_001161407
ENSG00000149798,CDC42EP2,9.7,67.3319114361,0.585418756959,ENSMUSG00000045664,89,1,NM_006779
ENSG00000177700,POLR2L,21.3,84.2524883201,1.28278988295,ENSMUSG00000038489,100,0,NM_021128
ENSG00000183054,RGPD6,6.4,57.729027016,0.0974783945157,NA,NA,NA,NM_001037866
ENSG00000177706,FAM20C,9.1,65.910014219,-0.192524251196,ENSMUSG00000025854,75,1,NM_020223
ENSG00000177707,PVRL3,8.6,64.5185862279,-0.190538615898,ENSMUSG00000022656,93,0,NM_001243288
ENSG00000174514,MFSD4,6.9,59.3743652245,-0.0185963692612,ENSMUSG00000059149,85,0,NM_181644
ENSG00000099256,PRTFDC1,3.9,48.126142596,-0.535237991709,NA,NA,NA,NM_001282786
ENSG00000180644,PRF1,15.3,77.5695713996,1.52935173549,ENSMUSG00000037202,68,1,NM_001083116
ENSG00000121716,PILRB,16.8,79.4840544384,0.0908400429911,ENSMUSG00000046245,40,1,NM_178238
ENSG00000187961,KLHL17,2.2,40.1178143408,0.365517461829,ENSMUSG00000078484,98,1,NM_198317
ENSG00000147689,FAM83A,0,19.2463944749,-0.254554700967,ENSMUSG00000051225,82,1,NM_207006
ENSG00000147687,TATDN1,6.7,58.7141986594,-0.332380592402,ENSMUSG00000050891,80,1,NM_001146160
ENSG00000147684,NDUFB9,65.6,95.7343083486,-0.687618857624,ENSMUSG00000022354,87,1,NM_001278645
ENSG00000189182,KRT77,0,19.2463944749,-0.180318926688,ENSMUSG00000067594,73,1,NM_175078
ENSG00000187969,ZCCHC13,0,19.2463944749,-0.179605302027,ENSMUSG00000031330,61,1,NM_203303
ENSG00000188342,GTF2F2,7.8,62.2232378631,-0.717800723704,ENSMUSG00000067995,98,0,NM_004128
ENSG00000188343,FAM92A1,3.4,45.9831403616,-0.147219267266,ENSMUSG00000028218,86,0,NM_001283034
ENSG00000114529,C3orf52,3.9,48.126142596,0.161903693117,ENSMUSG00000033187,38,0,NM_001171747
ENSG00000147174,ACRC,0.8,31.586431038,-0.10735595763,NA,NA,NA,NM_052957
ENSG00000166831,RBPMS2,2.7,42.5604306317,-0.405820627965,ENSMUSG00000032387,85,0,NM_194272
ENSG00000135617,PRADC1,6.3,57.3380052813,-0.827551661106,ENSMUSG00000030008,98,1,NM_032319
ENSG00000162849,KIF26B,0.3,26.0359536868,-0.411301798159,ENSMUSG00000026494,88,1,NM_018012
ENSG00000114520,SNX4,16.8,79.4840544384,0.00390668041666,ENSMUSG00000022808,94,0,NM_003794
ENSG00000166839,ANKDD1A,0.9,32.4243347552,-0.318616591992,ENSMUSG00000066510,76,0,NM_182703
ENSG00000145198,VWA5B2,0,19.2463944749,-0.242379715836,ENSMUSG00000046613,84,0,NM_138345
ENSG00000189157,FAM47E,2.4,40.9811090798,0.134112228077,ENSMUSG00000057068,31,0,NM_001136570
