mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,6.9058,39.1641036907,-0.448293105996,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,35.0465,57.1671792619,-0.59048899661,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,10.5642,45.0186731107,0.0222353670724,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,20.1834358524,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,20.1834358524,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,92.06791,67.2451669596,-0.441533186642,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,267.86525,79.4705623902,-0.165755382089,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,20.1834358524,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,40.1087434095,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,163.25641,73.7532952548,-0.396666172081,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,20.1834358524,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.72259,25.367970123,-0.40407186904,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,148.53091,72.7702108963,0.782720106164,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,1165.42377,92.4428822496,2.72744064754,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,58.04763,62.2693321617,0.763156829829,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,6.38452,37.7306678383,-0.221231631724,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,760.50931,89.7133128295,8.28741818334,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,777.44345,89.889059754,-0.620198669222,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,14.92172,48.9839630931,-0.375599405605,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,273.84649,79.7286906854,-0.547015838609,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,20.1834358524,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,65.11374,63.4830843585,-0.267200529999,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,31.6434,56.2005711775,-0.137362218244,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,156.39723,73.3084358524,-0.493571711275,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.67158,23.6379613357,-0.200099936912,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,357.30975,82.8152460457,-0.466359146218,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,33.3589630931,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1123.53517,92.2671353251,-0.339266645431,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,13.04666,47.4956063269,-0.873318667689,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,88.54096,66.8387521968,0.130730824094,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,261.25469,79.1959578207,0.952476504093,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.15192,31.2774604569,-0.192989161853,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,28.97178,55.4426625659,-0.792684964131,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.65296,22.7043057996,-0.115966357639,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.63584,20.1834358524,-0.397757575599,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,20.1834358524,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,20.1834358524,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,4.7567,26.1533391916,-0.4440021302,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,21361.89888,99.6539982425,1.54853842698,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,20.1834358524,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.66184,23.1766256591,-0.410119372025,NA,NA,NA
ENSMUSG00000008193,Spib,4.67871,23.9345342707,-0.312251347724,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,27.0741,54.7451669596,-0.322680171051,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.25556,57.7218804921,-0.24478856296,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,31.60839,56.1950790861,-0.136260571897,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,821.16215,90.328427065,-1.05538567053,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,5.1677,31.3818101933,-0.268761755387,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,20.1834358524,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,138.93356,71.973857645,1.80637833106,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,20.1834358524,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,70.68555,64.466168717,-0.491359362498,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,20.1834358524,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,18.74695,51.2082601054,-0.13243629567,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,962.77168,91.3554481547,-0.297268625294,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.70551,24.8572056239,-0.377107743914,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,22.26768,52.855887522,-0.224661729462,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,7.12758,39.7572495606,-0.0822689392914,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,20.1834358524,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.63584,20.1834358524,-0.260337667589,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,115.6279,69.9253075571,-0.169727712408,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,49.19815,60.4624340949,-0.739567024579,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,20.1834358524,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,5.01159,29.8714850615,-0.18191262102,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,113.8118,69.711115993,-0.749795277333,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,20.1834358524,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,352.50703,82.6834358524,0.941800727177,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,8.74239,42.8218365554,0.0900349432505,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,22.5010984183,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,25.1647627417,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,4.79632,26.966168717,-0.565046754087,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,11.07151,45.6502636204,-0.984582215962,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,142.90426,72.3637961336,-0.476306974448,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.82894,27.4220123023,0.170589744218,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,14.09761,48.3358963093,-0.458483162117,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.22471,31.8211775044,-0.277648275296,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,399.20215,84.0344903339,-0.471213909372,ENSG00000072310,77,1
