mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1494.97304,96.1555360281,-0.190393937258,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,19.26788,53.888400703,0.327532006399,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,210.40039,83.6225834798,-0.928025809699,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,315.15426,87.2253954306,-1.23972762745,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,8.87975,40.1636643234,7.88287296276,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2253.31674,97.3637961336,-0.660287876205,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,75.64846,72.610940246,-1.01158806081,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,15.36615,50.3460017575,-0.669980365207,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,30.20263,60.6601493849,-0.0931201894283,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,5.19569,23.4512302285,-0.345044926055,NA,NA,NA
ENSMUSG00000083012,Fam220a,78.42065,73.0173550088,-0.229258923529,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,61.50438,70.0241652021,-1.03671983724,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.71153,15.4492530756,-0.108299183324,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,83.99273,73.9619947276,2.51407701374,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,5.66544,27.4110281195,-0.106103383856,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,13.7247363796,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,108.42054,76.8673110721,-1.19178093711,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,17.32795,52.191344464,-0.382007234824,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,23.29062,57.0463532513,-0.0926854783953,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,8.27843,38.5050527241,6.44315979273,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.78184,17.3440246046,-0.0600523087636,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,13.7247363796,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.45018,39.0048330404,0.0671076765405,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,30.12211,60.5997363796,-1.06158238044,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,35.66551,62.7746045694,-1.35915600661,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,5.53161,26.4663884007,-0.102455009753,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,13.41155,48.1107205624,-0.106110924648,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,13.7247363796,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,123.31048,78.2897627417,-0.75109756076,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.88342,19.4365114236,-0.26649015385,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.424,25.5931458699,-0.167350305513,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,10.19811,42.9811072056,0.084323787761,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,578.47093,91.756370826,0.054783918983,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,5.84696,28.5863356766,0.00809769412253,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,5.0582,21.9189367311,-0.135741902052,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,26.68886,58.8477592267,0.510537291264,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,16192.87009,99.7253954306,-0.237927573036,NA,NA,NA
ENSMUSG00000020758,Itgb4,5.66968,27.4275043937,-0.377542446617,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,5.09043,22.3637961336,-0.144264347032,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,5.20847,23.6324692443,-0.0979211895161,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,573.52547,91.6959578207,-0.522164373148,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,13.7247363796,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,44.9711,65.9655096661,-1.37661864413,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,51578.90345,99.9780316344,4.99536845813,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,5.93858,29.184973638,-0.13301159949,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,200.65618,83.2051845343,1.71597168805,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,105.08077,76.5542618629,-1.07578366217,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,35.42407,62.670254833,-1.42714498199,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,7.50222,36.0610720562,-0.510611105456,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,13.7247363796,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,41578.23232,99.9560632689,0.225281287448,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,17.1902460457,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,13.7247363796,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.59012,32.4637521968,-0.246393193687,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,168.22853,81.4422231986,-1.00895776679,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,13.7247363796,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,112.04996,77.2737258348,-0.43155547102,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.63584,13.7247363796,-0.375256853748,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,13.7247363796,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,5.80906,28.3666520211,-0.17008788603,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,108.03678,76.8233743409,-0.535881557901,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,5.43389,25.6700351494,-0.175511467816,NA,NA,NA
ENSMUSG00000021598,Med10,618.624,92.1353251318,-0.852245173889,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,4.63584,13.7247363796,-0.123197254339,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,22.1935413005,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,13.7247363796,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,778.1115,93.382029877,0.936108889826,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,62.48851,70.276801406,-1.22763230781,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,22.31982,56.3543497364,-0.415746213143,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,476.9446,90.4712214411,-0.606675417194,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,2622.45402,97.6658611599,-0.591145373457,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,13.7247363796,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,71.6778,72.0177943761,1.23553913502,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.79586,17.6625659051,-0.126921226423,ENSG00000101327,63,1
