mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,4.84177,29.4101493849,-0.577828451725,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,42.03715,57.5461335677,-0.37903574499,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,9.03029,43.480887522,-0.0371963380761,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,21.380711775,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,21.380711775,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,286.87419,78.9378295255,0.379794980768,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,930.67736,90.4327768014,0.214071830294,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63757,21.8365553603,-0.283260917302,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,41.0863356766,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,2203.57081,94.9912126538,1.60250381409,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,21.380711775,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,25.466827768,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,7.61652,41.4652899824,-0.298651575069,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,324.78535,80.2119947276,0.349461892783,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,14.83917,48.4127855888,-0.24327964817,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,12.60071,46.7871265378,1.27075135693,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,21.380711775,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,2391.33237,95.375659051,0.864059415463,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,188.77571,74.0608523726,-0.142522911742,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2685.97951,95.7820738137,0.0595333481099,ENSG00000060138,74,0
