mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,5.64737,32.309973638,-0.52727023575,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,49.18384,62.8240333919,-0.162862593879,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.0085676626,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.0085676626,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,7.60498,41.3774165202,5.47150173108,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,1492.62916,92.0858963093,5.46341199689,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,1167.76344,90.7897627417,0.349934985934,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.79967,21.7376977153,-0.28276728626,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.41239,40.8007469244,-0.400054023752,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,39.63655,61.1214850615,-0.5177931483,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,18.0085676626,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.65668,18.8982864675,-0.463354286723,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.0085676626,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,7.77134,41.9211335677,-0.547300095254,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.38619,49.4947275923,-0.300415879172,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,7.17133,40.0153778559,-0.0323849048221,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.0085676626,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,360.82489,81.3818101933,-1.00335358047,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,4042.59296,96.1994727592,5.02407816897,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,225.98547,76.894771529,-0.559050855963,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.0085676626,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,52.02361,63.263400703,-0.591257308063,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.25464,28.7016695958,-0.173171275478,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,110.35488,70.0681019332,-1.0051766952,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,18.0085676626,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,280.65097,78.9652899824,-0.721362054437,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,30.2833919156,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,554.21934,85.2152899824,-0.804384058419,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,66.27915,65.4108084359,-0.381714751896,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,14.90132,51.8782952548,-1.09830542436,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,116.65423,70.5349297012,-0.2646290618,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.22936,28.3776362039,-0.182662763488,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,26.90677,57.6999121265,-0.801375545028,NA,NA,NA
ENSMUSG00000017688,Hnf4g,6.18401,35.8249121265,-0.104790843464,ENSG00000164749,90,0
ENSMUSG00000062327,T,6.44478,37.0990773286,1.16209502177,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,18.0085676626,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,18.0085676626,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.49588,37.2803163445,-0.431072971619,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,15085.26844,98.9949472759,0.832568111497,ENSG00000119138,97,0
