mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,2664.76927,96.8475395431,1.34645881601,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,11.68793,49.3793936731,-0.148173988118,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2082.54668,96.0511862917,-0.371481042483,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,868.99937,90.9655096661,-0.502402358321,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.14259,31.321397188,0.680987618012,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,5789.91529,98.6050087873,1.45258677461,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,1127.1374,92.8438049209,-0.736009649612,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,45.34986,61.5169156415,-0.459545464363,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,22.41696,55.7227592267,-0.107548986249,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.69343,23.2809753954,-0.348596519423,NA,NA,NA
ENSMUSG00000083012,Fam220a,48.85563,62.1539982425,-0.308393778814,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,272.36675,79.8330404218,-0.594811926827,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.87208,27.2572495606,-0.107631203655,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,52.69914,62.8460017575,1.05220401816,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,21.4960456942,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.4960456942,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,379.67321,83.3919156415,-0.537886128454,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,120.7391,71.111599297,0.378872161424,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.4960456942,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,5.20445,32.0243848858,0.711394294009,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,5.48207,34.6660808436,1.35151494773,NA,NA,NA
ENSMUSG00000068341,Reg3d,5.49484,34.77043058,-0.106877218022,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.58698,40.4602372583,-0.467301916138,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,422.80455,84.5397627417,-0.0982752284991,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,316.49321,81.5300966608,0.659078058487,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,21.4960456942,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.97789,29.0202108963,-0.110349274217,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.4960456942,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,394.16451,83.8642355009,-0.0542304365948,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.4960456942,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.4960456942,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.98036,29.058655536,-0.125211152449,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,6.67464,40.7513181019,-0.337864262892,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.4960456942,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.4960456942,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,15.54907,52.4439806678,-0.320273837356,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,21470.27148,99.6485061511,0.463606991475,NA,NA,NA
ENSMUSG00000020758,Itgb4,4.6604,22.5670035149,-0.389778268315,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.4960456942,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.4960456942,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1329.6262,93.7939367311,1.04336913538,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.4960456942,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,115.09369,70.6063268893,-0.235071747455,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,1353.57766,93.9037785589,-0.733795094667,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,25.6041300527,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,22.57464,55.8051405975,-0.42291436492,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,569.26631,87.3846660808,1.40152964039,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,339.12556,82.1726713533,-0.0321667082911,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,130.98079,71.9848418278,0.79440223048,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.4960456942,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,57890.90591,99.9780316344,1.49716978165,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,25.2581282953,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.4960456942,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,6.10795,38.4281634446,-0.261739591722,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,866.66681,90.9380492091,1.01778350927,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.4960456942,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,2042.39521,95.9578207381,1.21494083213,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,4.95394,28.6302724077,-0.374878299028,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.77197,25.1537785589,0.0666688667442,ENSG00000145075,75,0
