mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,9.29009,44.1069859402,-0.298658735628,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,37.68743,59.1168717047,-0.510606119367,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,18.8378734622,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,18.8378734622,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,18.8378734622,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,365.72341,82.8097539543,0.712233367068,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,5995.70691,97.8910369069,3.11660789683,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,4.63584,18.8378734622,-0.283266185542,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.77674,41.190685413,-0.388844428549,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,566.75164,86.7036467487,-0.00130771488575,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,11.61554,46.8640158172,7.91752850767,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,20.0681019332,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.63584,18.8378734622,-0.321525200273,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,49.73055,62.0496485062,-0.428606840732,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,13.46648,48.572056239,-0.275253138754,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.7067,33.4742970123,-0.383919051087,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,18.8378734622,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1800.70098,94.3815905097,0.32086873808,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,83.89064,67.3110720562,-0.283136563314,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,3268.55754,96.5454745167,0.206027022947,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,18.8378734622,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,65.94432,64.8561072056,-0.246638848891,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.00314,27.2572495606,-0.173512556307,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,229.63418,78.2513181019,0.320209267059,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,18.8378734622,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,345.78135,82.2660369069,-0.504707989326,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,31.5081282953,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,285.14285,80.4811072056,-1.02421311345,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,66.96687,65.0318541301,-0.375363633529,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,36.92643,58.9411247803,-0.730709132931,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,143.35431,72.9789103691,-0.0398938432687,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,7.32764,39.9769332162,0.0971367607951,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,14.59539,49.4233304042,-0.853187906152,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,18.8378734622,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,5.197,29.4101493849,0.0861318201468,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.97408,26.9057557118,-0.118260717659,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,18.8378734622,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,9.08684,43.7994288225,-0.411811634256,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,11132.64441,98.841168717,0.381695385946,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,18.8378734622,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,6.76947,38.2853690685,1.45735239513,NA,NA,NA
ENSMUSG00000008193,Spib,4.67691,20.0296572935,-0.312252807004,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,21.92839,53.7456063269,-0.37674945067,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,71.95503,65.7293497364,1.10009534855,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.86348,25.2251757469,-0.177124980097,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,1147.93191,91.9595782074,-0.918800065019,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,7.13647,39.493629174,-0.0351367260971,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,18.8378734622,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,19.42559,52.4934094903,-1.04600840479,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.63584,18.8378734622,-0.385073358313,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,55.79135,63.164543058,-0.611873018482,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,5.36507,31.0028558875,-0.102073221462,NA,NA,NA
ENSMUSG00000035041,Creb3l3,28.89482,56.420254833,-0.113174208924,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,384.77941,83.3369947276,-0.503793020603,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,23.7862478032,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,477.76622,85.2976713533,0.397740420282,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.04498,35.3196397188,-0.203368129687,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,18.8378734622,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,4.71365,21.3697275923,-0.256451766486,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,161.07247,74.2475834798,0.298351288829,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,50.73941,62.203427065,-0.726437521009,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,18.8378734622,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.64671,19.3211775044,-0.429966043839,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,96.17779,68.7774604569,-1.00257222635,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,4.63584,18.8378734622,-0.20414081942,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,76.17279,66.3334797891,-0.916987309169,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.65011,19.3815905097,-0.446144149105,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,5.32029,30.6293936731,-0.141773651272,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,6.21239,36.2532952548,-0.143560543715,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,57.00428,63.3842267135,0.491560316136,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,10.30971,45.3427065026,-1.02534685817,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,891.82963,90.2954745167,3.83186705905,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,6.21042,36.2258347979,3.50668502482,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,19.06771,52.2956942004,-0.220038242674,ENSG00000196381,17,0
ENSMUSG00000031162,Gata1,5.47011,31.8760984183,-0.276824378702,ENSG00000102145,86,0
ENSMUSG00000020538,Srebf1,311.50073,81.348857645,-0.61465055833,ENSG00000072310,77,1
ENSMUSG00000038679,Trps1,78.75096,66.7124340949,-0.341024538028,ENSG00000104447,92,1
ENSMUSG00000015461,Atf6b,42.57567,60.4569420035,-0.957635763537,ENSG00000213676,87,1
ENSMUSG00000063889,Crem,134.05602,72.3088752197,-0.00397959916706,ENSG00000095794,91,1
ENSMUSG00000078862,0610010B08Rik /// Gm14308 /// Gm14326 /// Gm14391 /// Gm14430 /// Gm14434 /// Gm4724 /// LOC102639426,149.3777,73.4347539543,-0.146576951752,NA,NA,NA
ENSMUSG00000078861,Zfp931,492.93889,85.5283391916,-0.0332220844724,NA,NA,NA
ENSMUSG00000032897,Nfyc,1171.69601,92.0968804921,0.817750896682,ENSG00000066136,94,0
ENSMUSG00000075045,4933403O03Rik /// Gm4981 /// Gm9919,4.89751,25.7469244288,0.0272779574922,NA,NA,NA
ENSMUSG00000039841,Zfp800,127.37484,71.6992530756,-0.46891238766,ENSG00000048405,94,1
ENSMUSG00000009734,Pou6f2,4.63584,18.8378734622,-0.299343357625,ENSG00000106536,85,0
ENSMUSG00000043059,Zfp513,34.32424,58.1887082601,-0.770868241154,ENSG00000163795,95,0
ENSMUSG00000049577,Zfpm1,96.6203,68.821397188,-0.0654395207671,ENSG00000179588,67,1
ENSMUSG00000049576,Zfa-ps /// Zfx,8.75573,43.184314587,0.113561229368,NA,NA,NA
ENSMUSG00000078768,Zfp566,16.26368,50.6151142355,-0.580717840639,ENSG00000186017,74,1
ENSMUSG00000023781,Hes7,4.63584,18.8378734622,-0.150918681849,ENSG00000179111,90,0
ENSMUSG00000019826,Zbtb24,62.64301,64.295913884,-0.75834686894,ENSG00000112365,82,0
ENSMUSG00000036144,Meox2,240.06804,78.6742091388,0.92456435032,ENSG00000106511,98,1
ENSMUSG00000029127,Zbtb49,4.80573,23.8960896309,2.13130339054,ENSG00000168826,74,0
ENSMUSG00000025529,Zfp711,5.00893,27.3176625659,-0.437702455444,ENSG00000147180,95,0
