ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,1.4,43.9119170984,0.328909879206,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,5.2,70.725388601,-0.0835480628808,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,23.3808290155,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,23.3808290155,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,4.2,65.2202072539,-0.119214017333,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.8,36.981865285,-0.407837602869,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,0.4,31.8005181347,-0.775185072043,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,10.8,84.3911917098,1.65900688266,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,22,94.0414507772,-0.273721423497,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,4.7,67.9404145078,-0.288200393069,NA,NA,NA,NM_001289166
ENSG00000198416,,0,23.3808290155,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,23.3808290155,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,23.3808290155,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,23.3808290155,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,17.3,91.1269430052,-0.239705674335,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,23.3808290155,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,5.1,70.207253886,1.89532086784,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,42.2,97.9274611399,1.80231533867,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,23.3808290155,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,4.8,68.3937823834,-0.574342660491,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,23.3808290155,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,4.3,65.6735751295,0.0647242203002,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,3.8,63.2772020725,-0.297636949638,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,4.7,67.9404145078,0.577895021603,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,11.2,85.2979274611,-0.721048926129,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,4.2,65.2202072539,1.42105453066,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,3,56.9948186528,-0.413228668085,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,19.8,92.9404145078,-0.562815634608,ENSMUSG00000002325,69,0,NM_006084
