mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,714.78801,89.5760105448,-1.2153840002,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.89068,23.4567223199,-0.57475893541,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,2245.76003,95.6996924429,-0.322961577755,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,3699.69518,97.2210017575,3.26605837602,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,16.5311950791,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,4336.31942,97.6054481547,0.584163111921,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,8712.74808,98.769771529,1.25205742332,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,13.91275,49.8187609842,-0.680180773525,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,10.8739,46.7157293497,-0.128941167967,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,4.70306,18.5413005272,-0.348528423528,NA,NA,NA
ENSMUSG00000083012,Fam220a,91.71147,69.3706063269,-0.193684209989,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,675.14941,89.098198594,0.249306649805,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,5.75214,32.9031195079,-0.10396965157,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,14.48475,50.3569859402,-0.732972587773,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,16.5311950791,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,16.5311950791,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,544.22826,87.2693321617,-0.141201764269,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.28537,28.860940246,-0.470614227394,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,16.5311950791,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,16.5311950791,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.80447,21.5564586995,-0.0144333449739,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,16.5311950791,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,6.72278,37.7032073814,-0.428351281377,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,98.53498,70.0461335677,-0.893755657767,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,176.42936,76.2521968366,-0.347523617054,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63584,16.5311950791,-0.109724722028,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,18.34124,52.9657293497,-0.10363350091,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,16.5311950791,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,274.89537,80.7612038664,-0.361092190114,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,16.5311950791,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,16.5311950791,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.74828,20.0955623902,-0.134531044917,ENSG00000188393,33,0
