mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,19.26788,53.888400703,0.327532006399,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,39.69138,64.2684534271,-0.44999061958,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,5.1945,23.4292618629,-0.185814927362,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,13.7247363796,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,13.7247363796,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,30.38198,60.7535149385,-0.701608949302,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,71.43077,71.9628734622,-0.278322970744,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,152.39359,80.4371704745,0.166689471975,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.57002,36.3027240773,-0.395204377829,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,43.41949,65.5316344464,-0.514086494018,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,5.18709,23.3358963093,0.414276108255,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,14.5485500879,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,4.82893,18.4204745167,-0.320043434941,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,515.48977,91.0478910369,0.888922198676,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,12.4565,46.7486818981,-0.298778177926,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,4.97519,20.8754393673,-0.559492911607,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,13.7247363796,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1882.80483,96.875,0.396377840123,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,10.74873,43.9532073814,-0.381193904059,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,596.07727,91.9650702988,-0.465988459139,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.64313,14.0597539543,-0.214516496856,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,60.42213,69.8044815466,-0.383345138229,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,226.47747,84.3859841828,0.127023996328,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,43.96807,65.6689367311,-1.74284153775,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,8.19545,38.2469244288,0.449916231939,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,35.096,62.5384446397,-1.53819257897,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,6.8857,33.9685852373,1.11973810109,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,693.87478,92.7943760984,-0.690288905009,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,32.80035,61.6926625659,-0.690892646375,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,11.57829,45.4195957821,-1.15376637345,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,97.65225,75.8238137083,-0.424569186616,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.0864,22.3033831283,-0.201726062948,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,66.80062,71.111599297,-0.633482541741,NA,NA,NA
ENSMUSG00000017688,Hnf4g,5.78419,28.2073813708,-0.107709228936,ENSG00000164749,90,0
ENSMUSG00000062327,T,7.49657,36.0391036907,2.06905565252,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,5.20847,23.6324692443,-0.0979211895161,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,13.7247363796,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,6.2021,30.4920913884,-0.433256948095,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,51578.90345,99.9780316344,4.99536845813,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.92678,20.1175307557,-0.149534320832,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,14.7847100176,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,6.23587,30.6403778559,-0.310988940942,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,88.6415,74.6704745167,0.324248040227,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.03377,63.3457820738,-0.253384711625,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,16.78139,51.7080404218,-0.158915222086,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,889.40163,94.1289543058,-1.02686243541,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,19.4474956063,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,5.20493,23.5830404218,-0.116859080957,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,26.18567,58.6335676626,-0.884660483601,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,4.86315,19.0520650264,-0.384340778934,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,147.12094,80.1076449912,0.127103414658,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.71095,15.4217926186,-0.108092537722,NA,NA,NA
ENSMUSG00000035041,Creb3l3,46.07293,66.2346221441,-0.0805677363388,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,7483.06437,99.1761862917,2.03251946174,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,17.7669156415,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,19.6235,54.2289103691,-0.228274788938,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,6.46616,31.8431458699,-0.156255108247,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,13.7247363796,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,5.82224,28.4490333919,-0.201087788798,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,26.25355,58.6720123023,-1.09028338021,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,121.5961,78.1689367311,-0.122831922775,NA,NA,NA
ENSMUSG00000032419,Tbx18,5.65403,27.3176625659,-0.246001081853,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.92842,20.1449912127,-0.238453410254,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,98.77826,75.9391476274,-0.965295459881,ENSG00000146587,79,1
