mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1849.72065,95.8644551845,0.275665729515,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,19.00478,55.4646309315,0.311020255378,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,1452.53123,94.7166080844,-0.558769719568,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,599.80435,88.559973638,-0.860777447289,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,5.13127,30.1460896309,0.659172832961,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,3616.03005,97.9569420035,0.153839700991,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,855.19296,91.5147188049,-0.807281932048,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,73.99271,67.5472319859,-0.258521131496,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,53.79234,64.6034710018,-0.0494025475734,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,6.01022,37.2583479789,-0.339285201318,NA,NA,NA
ENSMUSG00000083012,Fam220a,59.46888,65.5755711775,-0.279985950818,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,108.90053,71.0676625659,-0.937390907148,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,20.0845782074,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,38.50088,61.8299648506,0.388935506037,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63584,20.0845782074,-0.11312302626,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.74159,23.033831283,-0.107391658344,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,308.2727,82.0518453427,-0.710007651992,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,327.40169,82.7383567663,1.89945583839,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,20.0845782074,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.74787,23.2315465729,-0.139948099697,ENSG00000105639,82,1
