mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000053211,Zfy1 /// Zfy2,38.40564,60.9402460457,1.52858836609,ENSG00000067646,69,0
ENSMUSG00000039759,Thap3,43.77451,61.9398066784,-0.326484062209,ENSG00000041988,57,1
ENSMUSG00000047907,Tshz2,4.63584,22.836115993,-0.207460340977,ENSG00000182463,89,1
ENSMUSG00000033726,Emx1,4.63584,22.836115993,-0.144755929139,ENSG00000135638,86,0
ENSMUSG00000031374,Zfp92,4.63584,22.836115993,-0.367189220735,ENSG00000189420,61,1
ENSMUSG00000002393,Nr2f6,51.31111,63.065685413,-0.61336906305,ENSG00000160113,92,0
ENSMUSG00000059325,Hopx,16.7505,54.0202108963,-0.309657724912,ENSG00000171476,41,0
ENSMUSG00000023927,Satb1,87.53838,67.717486819,-0.0308092626695,ENSG00000182568,93,1
ENSMUSG00000075394,Hoxc4,7.25667,43.2502196837,-0.404844906598,ENSG00000198353,99,1
ENSMUSG00000042745,Id1,7.79743,44.485940246,-0.548990209444,ENSG00000125968,90,0
ENSMUSG00000059246,Foxb1,4.63584,22.836115993,-0.22913993841,ENSG00000171956,100,1
ENSMUSG00000030443,Zfp583,4.67761,24.4233304042,-0.444528903593,ENSG00000198440,83,1
ENSMUSG00000003545,Fosb,302.00066,80.9973637961,1.96044114357,ENSG00000125740,94,0
ENSMUSG00000028341,Nr4a3,9.08959,46.7981107206,-0.543571059775,ENSG00000119508,91,0
ENSMUSG00000038895,Zfp653,15.77818,53.421572935,-0.221407683346,ENSG00000161914,93,1
ENSMUSG00000056673,Kdm5d,5.03617,30.9259666081,-0.544856756237,ENSG00000012817,80,1
ENSMUSG00000048562,Sp8,4.63584,22.836115993,-0.151662098267,ENSG00000164651,94,1
ENSMUSG00000018377,Vezf1,1383.58289,94.5408611599,-0.0627455799064,ENSG00000136451,98,1
ENSMUSG00000034957,Cebpa,89.52551,67.9097100176,-0.275582202652,ENSG00000245848,92,1
ENSMUSG00000030189,Ybx3,2556.43,97.1825571178,0.0269571388881,ENSG00000060138,74,0
ENSMUSG00000005503,Evx1,4.63584,22.836115993,-0.239940181083,ENSG00000106038,94,0
ENSMUSG00000018678,Sp2,59.51385,64.2684534271,-0.405830345815,ENSG00000167182,93,1
ENSMUSG00000047143,Dmrta2,5.08139,31.6234622144,-0.17340637251,ENSG00000142700,93,0
ENSMUSG00000027667,Zfp639,265.29053,79.5035149385,0.716408991198,ENSG00000121864,93,0
ENSMUSG00000038765,Lmx1b,4.63584,22.836115993,-0.206692568841,ENSG00000136944,92,0
ENSMUSG00000030180,Kdm5a,492.66962,86.3027240773,-0.0160889944351,ENSG00000073614,97,1
ENSMUSG00000022485,Hoxc5,5.42129,34.9791300527,-0.255626407086,ENSG00000172789,100,0
ENSMUSG00000027067,Ssrp1,1729.12523,95.5733743409,0.155485945654,ENSG00000149136,98,1
ENSMUSG00000031902,Nfatc3,98.70432,68.8818101933,-0.0822671674934,ENSG00000072736,89,1
ENSMUSG00000031907,Zfp90,68.45823,65.4712214411,-0.204447391578,ENSG00000184939,82,1
ENSMUSG00000049295,Zfp219,95.83929,68.5742530756,-0.439828914744,ENSG00000165804,88,1
ENSMUSG00000023443,Esx1,5.35185,34.4409050967,-0.166329078885,ENSG00000123576,21,0
ENSMUSG00000053600,Zfp472,493.94108,86.3356766257,1.16413525285,NA,NA,NA
ENSMUSG00000017688,Hnf4g,4.63584,22.836115993,-0.11609132077,ENSG00000164749,90,0
ENSMUSG00000062327,T,4.76278,26.0434973638,-0.288296958492,ENSG00000164458,91,0
ENSMUSG00000056493,Foxk1,4.63584,22.836115993,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000074369,Obox2,4.63584,22.836115993,-0.114740308437,NA,NA,NA
ENSMUSG00000038253,Hoxa5,60.91856,64.5046133568,-0.0264918126332,ENSG00000106004,98,0
ENSMUSG00000033863,Klf9,707.34416,89.8121704745,-0.807510443578,ENSG00000119138,97,0
ENSMUSG00000074365,Crxos,4.63584,22.836115993,-0.170906215533,NA,NA,NA
ENSMUSG00000074366,Obox5,4.68799,24.6649824253,-0.386949087529,NA,NA,NA
ENSMUSG00000008193,Spib,4.99759,30.3767574692,-0.311992828192,ENSG00000269404,84,0
ENSMUSG00000021217,Tshz3,13.14187,51.5872144112,-0.469075059141,ENSG00000121297,95,1
ENSMUSG00000047371,Zfp768,37.38559,60.6491652021,-0.239748853275,ENSG00000169957,90,0
ENSMUSG00000068154,Insm1,4.9296,29.2893233743,-0.177023953222,ENSG00000173404,86,1
ENSMUSG00000031885,Cbfb,6991.3999,99.0773286467,1.52369526779,ENSG00000067955,99,1
ENSMUSG00000021356,Irf4,4.88437,28.5643673111,-0.302383244718,ENSG00000137265,92,0
ENSMUSG00000027547,Sall4,4.63584,22.836115993,-0.121673372098,ENSG00000101115,74,0
ENSMUSG00000036281,Snapc4,46.6791,62.3242530756,-0.395528353717,ENSG00000165684,50,0
ENSMUSG00000019982,Myb,877.78042,91.6190685413,2.42891509177,ENSG00000118513,76,1
ENSMUSG00000047141,Zfp654,144.23449,72.8251318102,0.103748240005,ENSG00000175105,85,1
ENSMUSG00000061283,Tgif2lx1 /// Tgif2lx2,4.63584,22.836115993,-0.108783711886,NA,NA,NA
ENSMUSG00000035041,Creb3l3,30.03771,58.8752196837,-0.11100484271,ENSG00000060566,59,0
ENSMUSG00000059824,Dbp,629.30027,88.6423550088,-0.416422435609,ENSG00000105516,93,1
ENSMUSG00000061894,Zscan20,4.80092,26.9057557118,-0.31356006687,ENSG00000121903,76,1
ENSMUSG00000032411,Tfdp2,26.60921,57.9031195079,-0.218729377615,ENSG00000114126,83,1
ENSMUSG00000033249,Hsf4,5.691,36.934314587,-0.242964186786,ENSG00000102878,86,1
ENSMUSG00000019913,Sim1,4.63584,22.836115993,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000036139,Hoxc9,5.82004,37.7306678383,-0.201197658769,ENSG00000180806,100,0
ENSMUSG00000046311,Zfp62,108.76397,69.9307996485,-0.240426180871,ENSG00000196670,87,0
ENSMUSG00000030446,Zfp273 /// Zfp85,239.15078,78.3062390158,0.878578994763,NA,NA,NA
ENSMUSG00000032419,Tbx18,4.63584,22.836115993,-0.268944700938,ENSG00000112837,95,0
ENSMUSG00000033943,Mga,4.65761,23.9235500879,-0.422555984892,ENSG00000174197,82,1
ENSMUSG00000061898,Rbak,168.29894,74.4452987698,0.0312575296932,ENSG00000146587,79,1
ENSMUSG00000006311,Etv2,5.24694,33.4358523726,-0.111124594021,ENSG00000105672,68,1
ENSMUSG00000057894,Zfp329,147.50145,73.033831283,-0.437188425554,ENSG00000181894,61,1
ENSMUSG00000020364,Zfp354a,4.63584,22.836115993,-0.448013834377,ENSG00000169131,83,1
ENSMUSG00000073209,Klf14,4.64981,23.670913884,-0.187221774729,ENSG00000266265,66,0
ENSMUSG00000031241,Tbx22,4.71616,25.2855887522,-0.17585072067,ENSG00000122145,72,0
ENSMUSG00000039377,Hlx,58.75516,64.1860720562,0.526995375983,ENSG00000136630,86,0
ENSMUSG00000062743,Zfp677,38.38367,60.9237697715,0.4769174301,NA,NA,NA
ENSMUSG00000074521,6230416C02Rik /// Etohi1 /// Gm14288 /// Gm14306 /// Gm14431 /// Gm14436 /// Gm14440 /// Gm8898,138.07638,72.3637961336,-0.504079230651,ENSG00000269755,43,1
ENSMUSG00000048921,Zfp689,4.63584,22.836115993,-0.295721746852,ENSG00000156853,92,1
ENSMUSG00000074527,2210418O10Rik,10.8139,49.2805360281,-0.616022037878,ENSG00000196381,17,0
