mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1126.84487,90.6469683656,-0.674032691694,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,6.20327,34.7100175747,-0.492382807422,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3385.87646,96.2928383128,0.0159680435692,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1465.39419,92.3055799649,0.291568669366,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.3642355009,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2176.28106,94.5683216169,-0.706311402252,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,2410.65779,95.0681019332,-0.399619511436,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,55.1379,63.4226713533,-0.390849988491,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,5.49183,30.2833919156,-0.138915491886,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,145.97278,72.1276362039,0.650421524069,NA,NA,NA
ENSMUSG00000083012,Fam220a,115.58029,69.9143233743,-0.129796019942,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1088.37216,90.3449033392,1.11530470335,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,13.04092,49.2750439367,-0.0736441651197,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,44.37594,61.5169156415,0.663387608254,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,6.15891,34.4628734622,-0.102738987064,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.3642355009,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,1425.15215,92.1408172232,1.98239598129,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,5.27946,28.7236379613,-0.47065771204,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.63584,21.3642355009,-0.116203729709,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.3642355009,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.3642355009,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.3642355009,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,8.53965,42.4648506151,0.0927697773654,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,2090.03765,94.3211775044,3.99169011138,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,310.09699,79.1135764499,0.613110124798,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,10.12601,45.4250878735,-0.0651686906352,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,4.64127,21.7981107206,-0.110518443146,NA,NA,NA
ENSMUSG00000035420,Fam170a,5.87308,32.749340949,-0.091324301254,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,269.48142,77.8174428822,-0.375021478029,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.3642355009,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,5.37828,29.4980228471,-0.167941286765,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.3642355009,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,7.47336,39.7462653779,-0.337315787917,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.63584,21.3642355009,-0.159529220269,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.3642355009,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.97491,50.9885764499,-0.363094978294,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,28771.73966,99.6704745167,1.43420443545,NA,NA,NA
ENSMUSG00000020758,Itgb4,11.32771,47.3363356766,-0.308948353559,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.3642355009,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,7.42317,39.5869947276,0.094262576767,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,1473.03636,92.3550087873,1.34030498273,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,4.63584,21.3642355009,-0.17149379688,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,164.959,73.2370386643,0.576700748147,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,11292.04959,98.9455184534,0.399878609908,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.78924,24.3244727592,-0.133250943656,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,20.97625,54.525483304,-0.442112166546,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,861.96385,88.5270210896,2.96362808376,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,86.33101,67.4428822496,-1.19331644437,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,8.00835,41.190685413,-0.505261947301,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.3642355009,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,51803.16956,99.9725395431,1.02251295875,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,4.77512,24.1926625659,-0.325858584167,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.3642355009,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.82494,32.4967047452,-0.270747170185,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,324.74054,79.624340949,-0.554788286177,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,4.63584,21.3642355009,-0.157497169991,ENSG00000180772,92,1
ENSMUSG00000038893,Fam117a,497.16337,83.9411247803,-0.103071327647,ENSG00000121104,86,0
ENSMUSG00000037944,Ccr7,8.46624,42.3769771529,-0.370698488456,ENSG00000126353,87,0
ENSMUSG00000027676,Ccdc39,4.63584,21.3642355009,-0.222627860522,ENSG00000145075,75,0
ENSMUSG00000068129,Cst7,6.39194,35.7480228471,-0.169671957109,ENSG00000077984,70,0
ENSMUSG00000019916,P4ha1,298.75355,78.7620826011,-0.271485544934,ENSG00000122884,94,1
ENSMUSG00000019917,10-Sep,9.7815,44.8209578207,-0.120103891812,NA,NA,NA
ENSMUSG00000021598,Med10,1772.68924,93.5083479789,0.607018099052,ENSG00000133398,99,0
ENSMUSG00000004948,Zp3,6.32138,35.3690685413,-0.0270345636334,ENSG00000146707,45,0
ENSMUSG00000078607,1810010H24Rik,5.07956,27.0046133568,-0.133932898553,NA,NA,NA
ENSMUSG00000019913,Sim1,4.63584,21.3642355009,-0.158349859591,ENSG00000112246,97,0
ENSMUSG00000004947,Dtx2,674.3776,86.4619947276,0.655484785202,ENSG00000091073,85,1
ENSMUSG00000004945,Tmem242,835.83781,88.2798769772,0.795414581839,ENSG00000215712,86,0
ENSMUSG00000046027,Stard5,6.48401,36.2368189807,-0.47606624697,ENSG00000172345,84,1
ENSMUSG00000027405,Nop56,7331.43677,98.3908172232,3.40390274443,ENSG00000101361,89,0
ENSMUSG00000027404,Snrpb,7704.37388,98.4786906854,2.10732234777,ENSG00000125835,95,0
ENSMUSG00000027406,Idh3b,4.63584,21.3642355009,-0.238884920981,ENSG00000101365,94,1
ENSMUSG00000020361,Hspa4,19.91509,54.0037346221,-0.321454124069,ENSG00000170606,96,1
ENSMUSG00000027400,Pdyn,4.68438,22.8525922671,-0.127377900135,ENSG00000101327,63,1
ENSMUSG00000020363,Gfpt2,390.58334,81.5795254833,2.76328088482,ENSG00000131459,98,1
ENSMUSG00000020362,Cnot6,521.81064,84.3695079086,-0.591753727691,ENSG00000113300,96,0
ENSMUSG00000064120,Mocs1,10.7451,46.4630931459,2.15936446634,ENSG00000124615,84,0
ENSMUSG00000064127,Med14,6.8226,37.6098418278,-0.237024334245,ENSG00000180182,97,0
ENSMUSG00000027408,Cpxm1,59.20736,64.0103251318,-0.116355732496,ENSG00000088882,85,1
ENSMUSG00000064125,BC068157,4.63584,21.3642355009,-0.295067617567,ENSG00000183248,40,1
ENSMUSG00000018209,Stk4,2205.10894,94.6232425308,-0.364271384856,ENSG00000101109,97,1
ENSMUSG00000020305,Asb3,4.93151,25.8183216169,-0.426909637819,ENSG00000270898,76,1
ENSMUSG00000049482,Ctu2,4926.05428,97.4791300527,2.45107855969,ENSG00000174177,77,1
ENSMUSG00000022792,Yars2,410.16384,82.1781634446,1.3253087445,ENSG00000139131,84,0
ENSMUSG00000044288,Cnr1,5.043,26.6695957821,-0.28725879594,ENSG00000118432,97,1
ENSMUSG00000054537,Tmprss11e,4.63584,21.3642355009,-0.129205751722,ENSG00000087128,76,1
ENSMUSG00000030001,Figla,5.50503,30.3383128295,1.11674801607,ENSG00000183733,58,0
ENSMUSG00000022960,Donson,238.82439,76.5707381371,0.387380463289,ENSG00000159147,77,1
ENSMUSG00000087029,Gm14133,4.63584,21.3642355009,-0.202942035384,NA,NA,NA
ENSMUSG00000030924,2610020H08Rik,4.82969,24.8132688928,-0.252684932531,ENSG00000005189,36,1
ENSMUSG00000044287,Nrn1l,5.83263,32.5351493849,-0.0308592829865,ENSG00000188038,74,1
ENSMUSG00000021061,Sptb,33.2692,59.007029877,-0.262510756708,ENSG00000070182,91,1
ENSMUSG00000054074,Skida1,6.12977,34.3420474517,-0.00100633351837,ENSG00000180592,92,1
ENSMUSG00000041536,Serpina3a,4.63584,21.3642355009,-0.117658559847,ENSG00000273259,51,0
ENSMUSG00000054072,Iigp1,5.55478,30.6678383128,-0.343842432336,NA,NA,NA
ENSMUSG00000045007,Tubg2,4.63584,21.3642355009,-0.399039632584,ENSG00000037042,98,1
ENSMUSG00000001270,Ckb,1384.86452,91.9595782074,-0.337578422602,ENSG00000166165,97,0
ENSMUSG00000041671,Pyroxd1,93.82262,68.0579964851,-0.23783904516,ENSG00000121350,85,0
ENSMUSG00000030922,Lyrm1,23.74561,55.7941564148,-0.242718956351,ENSG00000102897,88,0
ENSMUSG00000010392,Gosr1,154.77028,72.6438927944,1.36582306394,ENSG00000108587,98,0
ENSMUSG00000006958,Chrd,8.89988,43.3326010545,-0.641484868759,ENSG00000090539,86,0
ENSMUSG00000054079,Utp18,1604.48689,92.9371704745,2.17009253137,ENSG00000011260,81,1
ENSMUSG00000034957,Cebpa,9.96803,45.0735940246,-0.382240545661,ENSG00000245848,92,1
ENSMUSG00000046818,Ddit4l,257.60035,77.3561072056,-0.0123534109896,ENSG00000145358,93,0
ENSMUSG00000031671,Setd6,4.63584,21.3642355009,-0.420479191076,ENSG00000103037,78,1
ENSMUSG00000096225,Lhx8,7.44646,39.6474077329,-0.165676962396,ENSG00000162624,91,0
ENSMUSG00000048285,Frmd6,191.96205,74.5496485062,-0.406539873586,ENSG00000139926,94,0
