ens_ID,gene_symbol,gene_FPKM,gene_expression_percentile,gene_zscore,mouse_ortholog_ensID,percent_identity, ortholog_confidence, refseq_ID
ENSG00000106006,HOXA6,0,32.189119171,-0.770729119932,ENSMUSG00000043219,96,1,NM_024014
ENSG00000106004,HOXA5,0.5,46.4378238342,-0.443594729278,ENSMUSG00000038253,98,0,NM_019102
ENSG00000189299,FOXR2,0,32.189119171,-0.179605302027,ENSMUSG00000071665,52,1,NM_198451
ENSG00000234376,UBTFL2,0,32.189119171,nan,NA,NA,NA,NA
ENSG00000198093,ZNF649,1.5,63.9896373057,-1.18107907894,NA,NA,NA,NM_023074
ENSG00000079263,SP140,0.3,41.8393782383,-0.458033000145,ENSMUSG00000089844,8,1,NM_001278451
ENSG00000163884,KLF15,10.8,91.774611399,0.87431359788,ENSMUSG00000030087,85,1,NM_014079
ENSG00000102908,NFAT5,2.6,72.5388601036,-1.39589421215,ENSMUSG00000003847,93,1,NM_138714
ENSG00000185122,HSF1,9.7,90.9974093264,-1.31164774612,ENSMUSG00000022556,84,1,NM_005526
ENSG00000131115,ZNF227,3.2,75.518134715,-0.993997274055,NA,NA,NA,NM_001289166
ENSG00000198416,,0,32.189119171,nan,NA,NA,NA,NA
ENSG00000124203,ZNF831,0,32.189119171,-0.494360144855,ENSMUSG00000050600,56,1,NM_178457
ENSG00000171532,NEUROD2,0,32.189119171,-0.179605302027,ENSMUSG00000038255,98,1,NM_006160
ENSG00000156150,ALX3,0,32.189119171,-0.272113222656,ENSMUSG00000014603,92,0,NM_006492
ENSG00000169740,ZNF32,8,88.7305699482,-1.35259816548,ENSMUSG00000059689,95,1,NM_001005368
ENSG00000237900,,0,32.189119171,nan,NA,NA,NA,NM_181842
ENSG00000176542,KIAA2018,4.4,80.2461139896,1.23505356707,ENSMUSG00000068284,83,1,NM_001009899
ENSG00000178573,MAF,7.8,88.4067357513,-0.731190886345,ENSMUSG00000055435,90,1,NM_001031804
ENSG00000229631,,0,32.189119171,nan,NA,NA,NA,NA
ENSG00000124444,ZNF576,2.7,73.3160621762,-1.6494353286,NA,NA,NA,NM_001145347
ENSG00000147596,PRDM14,0,32.189119171,-0.2634553859,ENSMUSG00000042414,70,0,NM_024504
ENSG00000251369,ZNF550,1.6,65.0906735751,-1.17798080946,NA,NA,NA,NM_001277090
ENSG00000083828,ZNF586,1.5,63.9896373057,-1.25007518848,NA,NA,NA,NM_001077426
ENSG00000102870,ZNF629,1.3,61.5284974093,-1.78582596901,ENSMUSG00000045639,89,0,NM_001080417
ENSG00000131759,RARA,10.4,91.5803108808,-0.814701145859,ENSMUSG00000037992,98,1,NM_001024809
ENSG00000102878,HSF4,0.5,46.4378238342,-1.36458878772,ENSMUSG00000033249,86,1,NM_001040667
ENSG00000128000,ZNF780B,1.4,62.9533678756,-1.3291294389,ENSMUSG00000096916,45,1,NM_001005851
ENSG00000213928,IRF9,21.2,96.1139896373,-0.445102560703,ENSMUSG00000002325,69,0,NM_006084
ENSG00000185947,ZNF267,2.6,72.5388601036,-0.868148854087,ENSMUSG00000033883,41,1,NM_003414
ENSG00000043355,ZIC2,0,32.189119171,-0.228338158398,ENSMUSG00000061524,98,0,NM_007129
ENSG00000213921,LEUTX,0,32.189119171,nan,NA,NA,NA,NM_001143832
ENSG00000167232,ZNF91,2.2,70.0129533679,-1.19650944575,ENSMUSG00000021510,37,0,NM_001300951
ENSG00000131931,THAP1,2.8,73.8989637306,-1.35851043669,ENSMUSG00000037214,88,0,NM_199003
ENSG00000180081,,0,32.189119171,nan,NA,NA,NA,NA
ENSG00000120784,ZFP30,0.7,51.2305699482,-1.54772089587,ENSMUSG00000047473,85,1,NM_014898
ENSG00000237582,,0,32.189119171,nan,NA,NA,NA,NM_001285987
ENSG00000177494,ZBED2,0,32.189119171,-0.335082140871,NA,NA,NA,NM_024508
ENSG00000118260,CREB1,4.6,81.1528497409,-1.25108555216,ENSMUSG00000025958,100,1,NM_004379
ENSG00000118263,KLF7,3.2,75.518134715,-0.972215166824,ENSMUSG00000025959,97,1,NM_001270944
ENSG00000168348,INSM2,0,32.189119171,-0.300398752796,ENSMUSG00000045440,61,1,NM_032594
ENSG00000167528,ZNF641,3.3,75.8419689119,-1.30849580926,ENSMUSG00000022987,79,0,NM_152320
ENSG00000054598,FOXC1,0.6,49.0284974093,-0.361306934778,ENSMUSG00000050295,93,1,NM_001453
ENSG00000132130,LHX1,0,32.189119171,nan,NA,NA,NA,NA
ENSG00000057657,PRDM1,1.3,61.5284974093,-0.782106693587,ENSMUSG00000038151,89,1,NM_182907
ENSG00000168610,STAT3,43.9,98.2512953368,-0.31513569582,ENSMUSG00000004040,100,0,NM_003150
ENSG00000189120,SP6,0,32.189119171,-0.393914735562,ENSMUSG00000038560,96,0,NM_001258248
ENSG00000105722,ERF,21.2,96.1139896373,-0.0920260539551,ENSMUSG00000040857,97,1,NM_001308402
ENSG00000162599,NFIA,17,95.0129533679,0.789348924568,ENSMUSG00000028565,91,0,NM_005595
ENSG00000152926,ZNF117,0.6,49.0284974093,-1.23099348912,ENSMUSG00000055341,50,0,NM_015852
ENSG00000152433,ZNF547,0.2,39.5077720207,-1.60823252807,NA,NA,NA,NM_173631
ENSG00000140044,JDP2,11.1,91.9689119171,-0.491030841592,ENSMUSG00000034271,90,1,NM_001135048
ENSG00000141510,TP53,5.9,85.1683937824,-1.22277658647,ENSMUSG00000059552,77,0,NM_001126114
ENSG00000152439,ZNF773,0.5,46.4378238342,-1.80534537938,ENSMUSG00000063535,36,0,NM_198542
ENSG00000139651,ZNF740,0.9,55.3756476684,-1.77314821177,ENSMUSG00000046897,79,0,NM_001004304
ENSG00000162601,MYSM1,2,68.5880829016,-1.82635211699,ENSMUSG00000062627,78,0,NM_001085487
ENSG00000135100,HNF1A,4.9,82.5129533679,1.04719214641,ENSMUSG00000029556,94,1,NM_001306179
