mouse_ens_ID,gene_symbol,gene_expression,gene_expression_percentile,gene_zscore,human_ortholog_ensID,percent_identity, ortholog_confidence
ENSMUSG00000028180,Zranb2,1180.06223,92.1463093146,-0.604116885727,ENSG00000132485,97,0
ENSMUSG00000053211,Zfy1 /// Zfy2,4.74547,27.4000439367,-0.583872091495,ENSG00000067646,69,0
ENSMUSG00000002010,Idh3g,3840.75647,97.0946836555,0.151193100836,ENSG00000067829,95,1
ENSMUSG00000002017,Fam98a,1368.83631,92.9756151142,0.163022684988,ENSG00000119812,95,1
ENSMUSG00000028184,Lphn2,4.63584,21.309314587,-0.295570891243,ENSG00000117114,96,0
ENSMUSG00000002015,Bcap31,2692.93035,96.0621704745,-0.397648947984,ENSG00000185825,71,0
ENSMUSG00000002014,Ssr4,4047.68368,97.2484622144,0.0294187567722,ENSG00000180879,95,0
ENSMUSG00000028189,Ctbs,89.93948,64.5101054482,-0.146601793838,ENSG00000117151,68,0
ENSMUSG00000028188,Spata1,11.49775,45.079086116,-0.127785017643,NA,NA,NA
ENSMUSG00000053219,Raet1a /// Raet1b /// Raet1c /// Raet1d /// Raet1e,7.15064,39.4606766257,-0.331221035131,NA,NA,NA
ENSMUSG00000083012,Fam220a,60.94957,60.5722759227,-0.276022679734,ENSG00000178397,42,1
ENSMUSG00000031807,Pgls,1011.03853,91.1028119508,0.953235279405,ENSG00000130313,89,0
ENSMUSG00000046750,BC089491,4.63584,21.309314587,-0.10861409694,ENSG00000186838,39,0
ENSMUSG00000046020,Pofut1,13.92299,46.9683655536,-0.759215079414,ENSG00000101346,91,1
ENSMUSG00000028182,Lrriq3,4.63626,21.9573813708,-0.11312016277,ENSG00000162620,62,0
ENSMUSG00000046755,Kif2b,4.63584,21.309314587,-0.107459284866,ENSG00000141200,78,1
ENSMUSG00000046756,Mrps7,816.02778,89.3453427065,0.514011307447,ENSG00000125445,85,1
ENSMUSG00000043505,Gimap5,6.49062,37.9448594025,-0.461746229191,ENSG00000196329,55,0
ENSMUSG00000028185,Dnase2b,4.69643,26.1862917399,-0.116127343344,ENSG00000137976,65,0
ENSMUSG00000031805,Insl3 /// Jak3,4.63584,21.309314587,-0.348840053718,ENSG00000105639,82,1
ENSMUSG00000097766,5730420D15Rik,4.63584,21.309314587,-0.35436820418,NA,NA,NA
ENSMUSG00000068341,Reg3d,4.63584,21.309314587,-0.107349827257,NA,NA,NA
ENSMUSG00000001802,Lrp3,5.94992,36.341168717,-0.650025711281,ENSG00000130881,93,1
ENSMUSG00000028187,Rpf1,370.58385,81.3268892794,-0.226380202557,ENSG00000117133,95,1
ENSMUSG00000035139,Secisbp2,145.45689,69.9472759227,-0.570114529682,ENSG00000187742,69,1
ENSMUSG00000035560,Wdr20rt,4.63667,22.2045254833,-0.109717986079,ENSG00000140153,87,1
ENSMUSG00000028186,Uox,95.48768,65.1087434095,-0.0648634318392,NA,NA,NA
ENSMUSG00000035420,Fam170a,4.63584,21.309314587,-0.10934952106,ENSG00000164334,71,1
ENSMUSG00000038766,Gabpb2,292.112,78.3666520211,-0.316796362446,ENSG00000143458,78,1
ENSMUSG00000035131,Brinp3,4.63584,21.309314587,-0.270555570801,ENSG00000162670,98,0
ENSMUSG00000027670,Ocstamp,4.63584,21.309314587,-0.1775381398,ENSG00000149635,58,1
ENSMUSG00000000248,Clec2g,4.63584,21.309314587,-0.139046421982,ENSG00000188393,33,0
ENSMUSG00000042453,Reln,167.90235,71.6882688928,-0.227150415484,ENSG00000189056,95,1
ENSMUSG00000075551,Cyp3a41a /// Cyp3a41b,4.93458,30.3053602812,-0.118181654045,ENSG00000160868,71,1
ENSMUSG00000042451,Mybph,4.63584,21.309314587,-0.13616494965,ENSG00000133055,86,1
ENSMUSG00000097089,Gm26879 /// Rcor3,14.58478,47.4461775044,-0.392191069477,NA,NA,NA
ENSMUSG00000063328,LOC102635048 /// LOC102635609 /// LOC102640707 /// Rpl12,21720.52415,99.5551405975,0.496873534019,NA,NA,NA
ENSMUSG00000020758,Itgb4,7.39462,40.0098857645,-0.356630451651,ENSG00000132470,85,0
ENSMUSG00000042459,Bpifa2,4.63584,21.309314587,-0.144336643963,ENSG00000131050,31,1
ENSMUSG00000056493,Foxk1,4.63584,21.309314587,-0.147611978375,ENSG00000164916,89,0
ENSMUSG00000032212,Sltm,652.82204,87.3187609842,-0.357977998872,ENSG00000137776,91,1
ENSMUSG00000028238,Atp6v0d2,7.13248,39.4442003515,-0.167019241669,ENSG00000147614,93,0
ENSMUSG00000033862,Cdk10,150.13797,70.3646748682,0.335424708542,ENSG00000185324,97,0
ENSMUSG00000033863,Klf9,8859.34676,98.6489455185,0.122382104526,ENSG00000119138,97,0
ENSMUSG00000033860,Fgg,4.7915,28.2732864675,-0.133250473023,ENSG00000171557,80,1
ENSMUSG00000069835,Sat2,36.18715,55.4591388401,-0.259418430502,ENSG00000141504,79,1
ENSMUSG00000028233,Tgs1,212.86574,74.4892355009,-0.500545708834,ENSG00000137574,73,1
ENSMUSG00000028232,Tmem68,243.55544,76.1643233743,-0.471144604037,ENSG00000167904,93,0
ENSMUSG00000057948,Unc13d,36.47898,55.5689806678,-0.204363161118,ENSG00000092929,88,1
ENSMUSG00000028236,Sdr16c5,4.63584,21.309314587,-0.13040962623,ENSG00000170786,80,1
ENSMUSG00000028234,Rps20,46635.64549,99.9505711775,0.619604485658,ENSG00000008988,80,0
ENSMUSG00000039865,Slc44a3,62.07096,60.7260544815,0.0827292425871,ENSG00000143036,81,1
ENSMUSG00000045009,Prrt3,4.63584,21.309314587,-0.374543358848,ENSG00000163704,73,1
ENSMUSG00000044534,Ackr2,5.8923,36.1599297012,-0.268603251295,ENSG00000144648,72,0
ENSMUSG00000066415,Msl2,389.67646,81.8980667838,-0.366356017884,ENSG00000174579,99,1
ENSMUSG00000068122,Agtr2,18.29904,49.4617750439,-0.125785498218,ENSG00000180772,92,1
